freq_hz,psd
5.0781,773.493
5.2734,847.451
5.4688,932.393
5.6641,754.163
5.8594,747.383
6.0547,885.332
6.2500,847.963
6.4453,1010.9
6.6406,1056.32
6.8359,1087.47
7.0312,1142.79
7.2266,1381.12
7.4219,1846.8
7.6172,1609.2
7.8125,1739.87
8.0078,1541.97
8.2031,1687.29
8.3984,2063.82
8.5938,1823.3
8.7891,1830.24
8.9844,2025.93
9.1797,1618.5
9.3750,1616.82
9.5703,1627.44
9.7656,1984.83
9.9609,2031.79
10.1562,2028.48
10.3516,1751.37
10.5469,1711.91
10.7422,1830.53
10.9375,1655.84
11.1328,1375.82
11.3281,1684.12
11.5234,1751.11
11.7188,1520.04
11.9141,1535.88
12.1094,1365.75
12.3047,1298.78
12.5000,1240.88
12.6953,1081.55
12.8906,1139.1
13.0859,1130.39
13.2812,1053.27
13.4766,1215.74
13.6719,1130.7
13.8672,963.682
14.0625,1014.97
14.2578,1014.35
14.4531,1051.9
14.6484,800.333
14.8438,659.641
15.0391,925.489
15.2344,883.045
15.4297,747.789
15.6250,664.253
15.8203,734.839
16.0156,736.58
16.2109,615.67
16.4062,600.891
16.6016,644.061
16.7969,542.29
16.9922,483.87
17.1875,479.31
17.3828,573.605
17.5781,574.72
17.7734,521.258
17.9688,573.471
18.1641,517.993
18.3594,623.704
18.5547,686.54
18.7500,727.18
18.9453,600.006
19.1406,665.308
19.3359,834.748
19.5312,992.302
19.7266,1217.38
19.9219,1208.56
20.1172,1447.74
20.3125,1304.22
20.5078,1409.16
20.7031,1762.85
20.8984,1764.66
21.0938,2193.87
21.2891,2459.85
21.4844,2762.56
21.6797,2533.99
21.8750,2670.89
22.0703,2355.85
22.2656,1732.06
22.4609,1083.8
22.6562,848.518
22.8516,654.706
23.0469,534.703
23.2422,456.792
23.4375,401.92
23.6328,383.987
23.8281,409.506
24.0234,285.847
24.2188,201.675
24.4141,180.117
24.6094,128.288
24.8047,118.249
25.0000,121.044
25.1953,116.056
25.3906,106.444
25.5859,83.1625
25.7812,88.3404
25.9766,95.2692
26.1719,70.6403
26.3672,77.9394
26.5625,77.5922
26.7578,68.3615
26.9531,66.1249
27.1484,65.1437
27.3438,65.5605
27.5391,63.5791
27.7344,62.5143
27.9297,56.8323
28.1250,57.9659
28.3203,55.1203
28.5156,51.0884
28.7109,45.054
28.9062,40.4874
29.1016,34.821
29.2969,32.3837
29.4922,37.3969
29.6875,44.0447
29.8828,37.1674
30.0781,27.6973
30.2734,26.0574
30.4688,31.7587
30.6641,31.1081
30.8594,24.9642
31.0547,24.6234
31.2500,25.0675
31.4453,22.9169
31.6406,22.6517
31.8359,25.6029
32.0312,24.2347
32.2266,20.4626
32.4219,17.5709
32.6172,20.4984
32.8125,19.0969
33.0078,17.7277
33.2031,18.0876
33.3984,14.9641
33.5938,15.8905
33.7891,16.6187
33.9844,12.7071
34.1797,13.6287
34.3750,14.358
34.5703,15.0344
34.7656,16.2358
34.9609,16.9917
35.1562,15.3032
35.3516,12.0519
35.5469,10.4865
35.7422,11.9226
35.9375,14.8192
36.1328,13.8974
36.3281,11.1175
36.5234,11.7913
36.7188,13.8105
36.9141,14.1039
37.1094,15.1933
37.3047,11.4229
37.5000,12.2289
37.6953,15.6222
37.8906,15.8251
38.0859,13.8601
38.2812,11.2511
38.4766,10.6147
38.6719,12.2911
38.8672,15.7335
39.0625,15.8033
39.2578,16.2558
39.4531,15.7086
39.6484,18.2431
39.8438,17.1979
