EXACT zeta ratio (light b 6e-4), d=1 m=3; K/J fixed by b = 567*(1-a/1024)/(1-1011/1024)*KJ
 a    pole   K/J   lev |      3      5      7      8   12.5     19     26 | 20 Hz |Cr| vs shipped
1011  2.03  0.5  M   |   0.89   0.96   1.03   1.06   1.31   1.42   1.64 | x0.50
1011  2.03  0.5  L   |   0.91   0.99   1.08   1.11   1.39   1.70   1.91 | x0.50
1011  2.03  1.0  M   |   0.81   0.89   0.97   1.00   1.29   1.43   1.73 | x1.00
1011  2.03  1.0  L   |   0.83   0.92   1.02   1.06   1.39   1.82   2.29 | x1.00
1015  1.41  0.5  M   |   0.92   1.02   1.12   1.16   1.47   1.59   1.71 | x0.35
1015  1.41  0.5  L   |   0.95   1.07   1.18   1.22   1.56   1.72   1.69 | x0.35
1015  1.41  1.0  M   |   0.84   0.95   1.07   1.10   1.50   1.70   2.13 | x0.69
1015  1.41  1.0  L   |   0.88   1.00   1.14   1.18   1.65   2.27   3.02 | x0.69
1018  0.94  0.5  M   |   0.99   1.13   1.28   1.32   1.51   1.51   1.48 | x0.23
1018  0.94  0.5  L   |   1.03   1.20   1.35   1.39   1.51   1.47   1.42 | x0.23
1018  0.94  1.0  M   |   0.91   1.07   1.23   1.29   1.89   2.19   2.21 | x0.46
1018  0.94  1.0  L   |   0.96   1.14   1.34   1.40   2.11   2.14   1.93 | x0.46
1020  0.62  0.5  M   |   1.10   1.31   1.37   1.37   1.33   1.32   1.29 | x0.15
1020  0.62  0.5  L   |   1.17   1.35   1.37   1.36   1.32   1.29   1.26 | x0.15
1020  0.62  1.0  M   |   1.02   1.26   1.52   1.62   1.77   1.71   1.63 | x0.31
1020  0.62  1.0  L   |   1.09   1.38   1.69   1.79   1.73   1.61   1.54 | x0.31
