
=== plant NEED x1.0 the map, nominal ===
  cfg                    v | T1 dist: |e| .5s 1s 2s rms(m/s^2) | T2 step: rise ov rms     | T3 pkpk  | T4 Ms wc PM         
  R3-flown              12 |  0.107  0.097  0.075  0.076     |  0.60  +0.60  0.368       |   0.28   |  1.86  0.08  120.1
  R3-flown              19 |  0.202  0.155  0.106  0.121     |  0.59  +0.53  0.355       |   0.23   |  1.71  0.11  127.0
  R3-flown              26 |  0.243  0.164  0.121  0.144     |  0.57  +0.48  0.346       |   0.08   |  1.71  0.15  134.5
  Ki1.5                 12 |  0.105  0.083  0.039  0.056     |  0.60  +0.63  0.373       |   0.86   |  1.87  0.19  111.0
  Ki1.5                 19 |  0.200  0.101  0.043  0.087     |  0.58  +0.55  0.359       |   0.58   |  1.73  0.26  116.0
  Ki1.5                 26 |  0.221  0.093  0.044  0.102     |  0.57  +0.50  0.349       |   0.14   |  1.73  0.38  120.2
  Ki2.5                 12 |  0.103  0.052  0.013  0.045     |  0.60  +0.66  0.380       |   0.83   |  1.89  0.30  101.4
  Ki2.5                 19 |  0.184  0.054  0.005  0.071     |  0.58  +0.58  0.364       |   0.29   |  1.75  0.42  103.8
  Ki2.5                 26 |  0.183  0.037  0.013  0.086     |  0.56  +0.52  0.352       |   0.21   |  1.75  0.63  103.2
  Kp1.1Ki2.5            12 |  0.100  0.057  0.019  0.046     |  0.60  +0.64  0.375       |   0.79   |  1.97  0.30  109.1
  Kp1.1Ki2.5            19 |  0.176  0.047  0.014  0.068     |  0.58  +0.56  0.359       |   0.20   |  1.89  0.56  110.1
  Kp1.1Ki2.5            26 |  0.142  0.039  0.021  0.081     |  0.56  +0.49  0.347       |   0.15   |  1.98  1.32   61.8
  Kp1.1Ki2.5r08         12 |  0.100  0.057  0.019  0.046     |  0.54  +0.88  0.395       |   0.76   |  1.97  0.30  109.1
  Kp1.1Ki2.5r08         19 |  0.176  0.047  0.014  0.068     |  0.52  +0.80  0.378       |   0.16   |  1.89  0.56  110.1
  Kp1.1Ki2.5r08         26 |  0.142  0.039  0.021  0.081     |  0.50  +0.72  0.361       |   0.13   |  1.98  1.32   61.8
  Kp1.3Ki3r08           12 |  0.098  0.049  0.016  0.043     |  0.53  +0.88  0.396       |   0.56   |  2.05  0.36  110.0
  Kp1.3Ki3r08           19 |  0.148  0.033  0.013  0.061     |  0.51  +0.80  0.379       |   0.24   |  2.05  0.99   86.3
  Kp1.3Ki3r08           26 |  0.107  0.029  0.015  0.073     |  0.50  +0.70  0.364       |   0.64   |  2.60  1.49   38.2
  Kp1.6Ki3r08           12 |  0.098  0.051  0.020  0.043     |  0.53  +0.87  0.392       |   0.54   |  2.17  0.41  117.1
  Kp1.6Ki3r08           19 |  0.136  0.029  0.019  0.059     |  0.51  +0.77  0.377       |   0.17   |  2.30  1.25   60.6
  Kp1.6Ki3r08           26 |  0.072  0.048  0.016  0.069     |  0.49  +0.66  0.360       |   1.83   |  4.02  1.61   21.3
  R3+FF1.3              12 |  0.107  0.097  0.075  0.076     |  0.58  +0.91  0.420       |   0.77   |  1.86  0.08  120.1
  R3+FF1.3              19 |  0.202  0.155  0.106  0.121     |  0.56  +0.80  0.393       |   0.16   |  1.71  0.11  127.0
  R3+FF1.3              26 |  0.243  0.164  0.121  0.144     |  0.55  +0.70  0.374       |   0.05   |  1.71  0.15  134.5
  Kp1.1Ki2.5r08FF1.3    12 |  0.100  0.057  0.019  0.046     |  0.52  +1.18  0.448       |   0.99   |  1.97  0.30  109.1
  Kp1.1Ki2.5r08FF1.3    19 |  0.176  0.047  0.014  0.068     |  0.50  +1.07  0.418       |   0.18   |  1.89  0.56  110.1
  Kp1.1Ki2.5r08FF1.3    26 |  0.142  0.039  0.021  0.081     |  0.48  +0.94  0.389       |   0.19   |  1.98  1.32   61.8

=== plant NEED x1.0 the map, robust: b 0.002, J 1.2e-4, delays x1.5 ===
  cfg                    v | T1 dist: |e| .5s 1s 2s rms(m/s^2) | T2 step: rise ov rms     | T3 pkpk  | T4 Ms wc PM         
  R3-flown              12 |  0.079  0.085  0.078  0.069     |  0.73  +0.31  0.373       |   0.54   |  1.38  0.08  114.6
  R3-flown              19 |  0.155  0.150  0.113  0.113     |  0.70  +0.36  0.373       |   0.20   |  1.31  0.11  120.7
  R3-flown              26 |  0.213  0.193  0.136  0.142     |  0.67  +0.41  0.370       |   0.07   |  1.42  0.15  126.8
  Ki1.5                 12 |  0.077  0.078  0.052  0.053     |  0.72  +0.37  0.380       |   0.78   |  1.38  0.18   98.1
  Ki1.5                 19 |  0.151  0.134  0.060  0.086     |  0.69  +0.43  0.378       |   0.33   |  1.31  0.25  101.4
  Ki1.5                 26 |  0.209  0.158  0.060  0.105     |  0.66  +0.47  0.375       |   0.04   |  1.50  0.34  103.1
  Ki2.5                 12 |  0.076  0.072  0.017  0.042     |  0.71  +0.44  0.389       |   0.95   |  1.38  0.28   82.2
  Ki2.5                 19 |  0.150  0.105  0.017  0.069     |  0.68  +0.49  0.386       |   0.59   |  1.35  0.38   82.7
  Ki2.5                 26 |  0.208  0.084  0.014  0.084     |  0.65  +0.53  0.381       |   0.17   |  1.64  0.50   81.1
  Kp1.1Ki2.5            12 |  0.076  0.071  0.024  0.043     |  0.71  +0.43  0.385       |   1.16   |  1.40  0.27   89.9
  Kp1.1Ki2.5            19 |  0.146  0.097  0.023  0.067     |  0.68  +0.50  0.383       |   0.45   |  1.44  0.43   87.8
  Kp1.1Ki2.5            26 |  0.199  0.078  0.022  0.081     |  0.65  +0.53  0.378       |   0.15   |  1.89  0.67   76.6
  Kp1.1Ki2.5r08         12 |  0.076  0.071  0.024  0.043     |  0.64  +0.54  0.381       |   1.04   |  1.40  0.27   89.9
  Kp1.1Ki2.5r08         19 |  0.146  0.097  0.023  0.067     |  0.61  +0.65  0.384       |   0.42   |  1.44  0.43   87.8
  Kp1.1Ki2.5r08         26 |  0.199  0.078  0.022  0.081     |  0.58  +0.72  0.385       |   0.15   |  1.89  0.67   76.6
  Kp1.3Ki3r08           12 |  0.074  0.070  0.018  0.040     |  0.64  +0.57  0.384       |   0.83   |  1.43  0.32   88.0
  Kp1.3Ki3r08           19 |  0.140  0.075  0.016  0.061     |  0.61  +0.69  0.389       |   0.54   |  1.59  0.55   79.1
  Kp1.3Ki3r08           26 |  0.187  0.053  0.008  0.071     |  0.58  +0.75  0.389       |   0.33   |  2.30  0.87   57.5
  Kp1.6Ki3r08           12 |  0.073  0.067  0.022  0.040     |  0.64  +0.58  0.382       |   0.85   |  1.46  0.34   93.8
  Kp1.6Ki3r08           19 |  0.136  0.067  0.020  0.059     |  0.60  +0.70  0.388       |   0.45   |  1.78  0.70   71.5
  Kp1.6Ki3r08           26 |  0.177  0.043  0.013  0.066     |  0.57  +0.76  0.390       |   0.05   |  2.96  1.07   39.6
  R3+FF1.3              12 |  0.079  0.085  0.078  0.069     |  0.69  +0.55  0.420       |   0.51   |  1.38  0.08  114.6
  R3+FF1.3              19 |  0.155  0.150  0.113  0.113     |  0.67  +0.59  0.408       |   0.29   |  1.31  0.11  120.7
  R3+FF1.3              26 |  0.213  0.193  0.136  0.142     |  0.64  +0.62  0.400       |   0.04   |  1.42  0.15  126.8
  Kp1.1Ki2.5r08FF1.3    12 |  0.076  0.071  0.024  0.043     |  0.62  +0.77  0.420       |   0.99   |  1.40  0.27   89.9
  Kp1.1Ki2.5r08FF1.3    19 |  0.146  0.097  0.023  0.067     |  0.59  +0.88  0.418       |   0.42   |  1.44  0.43   87.8
  Kp1.1Ki2.5r08FF1.3    26 |  0.199  0.078  0.022  0.081     |  0.57  +0.93  0.412       |   0.15   |  1.89  0.67   76.6

=== plant NEED x1.5 the map, nominal ===
  cfg                    v | T1 dist: |e| .5s 1s 2s rms(m/s^2) | T2 step: rise ov rms     | T3 pkpk  | T4 Ms wc PM         
  R3-flown              12 |  0.083  0.074  0.059  0.061     |  0.66  +0.13  0.377       |   0.42   |  2.02  2.20   72.4
  R3-flown              19 |  0.151  0.126  0.088  0.101     |  0.65  +0.08  0.367       |   0.27   |  1.89  0.06  114.2
  R3-flown              26 |  0.190  0.138  0.107  0.121     |  0.64  +0.06  0.358       |   0.20   |  1.95  0.07  118.5
  Ki1.5                 12 |  0.082  0.067  0.036  0.046     |  0.65  +0.16  0.355       |   0.51   |  2.04  2.20   71.3
  Ki1.5                 19 |  0.149  0.094  0.043  0.073     |  0.64  +0.11  0.350       |   0.10   |  1.91  0.15  108.4
  Ki1.5                 26 |  0.164  0.098  0.049  0.088     |  0.63  +0.09  0.343       |   0.08   |  1.98  0.18  112.0
  Ki2.5                 12 |  0.080  0.052  0.019  0.039     |  0.65  +0.19  0.348       |   0.94   |  2.06  2.20   70.0
  Ki2.5                 19 |  0.140  0.064  0.013  0.060     |  0.64  +0.14  0.343       |   0.45   |  1.94  0.24  102.1
  Ki2.5                 26 |  0.141  0.063  0.010  0.073     |  0.62  +0.12  0.339       |   0.08   |  2.02  0.29  104.9
  Kp1.1Ki2.5            12 |  0.079  0.054  0.024  0.040     |  0.65  +0.19  0.348       |   0.78   |  2.17  2.26   64.0
  Kp1.1Ki2.5            19 |  0.132  0.060  0.019  0.058     |  0.63  +0.15  0.342       |   0.10   |  2.15  0.25  109.2
  Kp1.1Ki2.5            26 |  0.125  0.059  0.023  0.069     |  0.62  +0.12  0.336       |   0.16   |  2.38  0.34  113.4
  Kp1.1Ki2.5r08         12 |  0.079  0.054  0.024  0.040     |  0.58  +0.37  0.340       |   0.71   |  2.17  2.26   64.0
  Kp1.1Ki2.5r08         19 |  0.132  0.060  0.019  0.058     |  0.56  +0.32  0.330       |   0.05   |  2.15  0.25  109.2
  Kp1.1Ki2.5r08         26 |  0.125  0.059  0.023  0.069     |  0.54  +0.29  0.323       |   0.08   |  2.38  0.34  113.4
  Kp1.3Ki3r08           12 |  0.078  0.049  0.020  0.037     |  0.57  +0.38  0.339       |   0.68   |  2.27  2.29   60.2
  Kp1.3Ki3r08           19 |  0.114  0.047  0.013  0.053     |  0.56  +0.33  0.329       |   0.10   |  2.38  0.32  111.3
  Kp1.3Ki3r08           26 |  0.094  0.051  0.016  0.062     |  0.54  +0.30  0.321       |   0.08   |  2.81  0.48  114.7
  Kp1.6Ki3r08           12 |  0.075  0.046  0.018  0.036     |  0.57  +0.39  0.338       |   0.56   |  2.43  2.37   53.6
  Kp1.6Ki3r08           19 |  0.104  0.048  0.016  0.051     |  0.55  +0.34  0.327       |   0.21   |  2.77  2.46   58.2
  Kp1.6Ki3r08           26 |  0.083  0.048  0.021  0.059     |  0.54  +0.30  0.319       |   0.06   |  3.73  2.75   42.8
