v293r5_design_dobb -- the observer's model b, every world.  R5 = Kp 1.2, notch Q1, Kv 6e-4 rc .03, DOB .8, Ki .3 flat unless named.

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                       6 | 0.035 0.038 0.035 0.031    | 0.66 +0.40 0.365  |   1.84  | 0.033   11.7  1 0.063          | 0.47 0.56 +0.33  56.1 +3.88     |  5.08  4 0.264 +0.106 0.333 0.84
  R4-flown                       8 | 0.057 0.060 0.053 0.048    | 0.64 +0.49 0.372  |   1.53  | 0.039    6.9  1 0.074          | 0.49 0.57 +0.27  33.9 +1.82     |  3.62  2 0.217 +0.087 0.313 0.72
  R4-flown                      12 | 0.092 0.085 0.048 0.056    | 0.60 +0.61 0.374  |   0.15  | 0.040    4.1  0 0.084          | 0.49 0.55 +0.31  19.3 +0.97     |  2.58  2 0.238 +0.095 0.298 0.67
  R4-flown                      19 | 0.165 0.085 0.021 0.074    | 0.59 +0.57 0.369  |   0.48  | 0.045    3.5  0 0.105          | 0.54 0.60 +0.34   9.1 +0.48     |  2.22  1 0.206 +0.083 0.312 0.65
  R4-flown                      26 | 0.201 0.102 0.021 0.088    | 0.57 +0.47 0.352  |   0.29  | 0.048    3.6  0 0.113          | 0.55 0.61 +0.34   6.0 +0.31     |  2.48  0 0.169 +0.068 0.298 0.57
  R5 dobb ident                  6 | 0.029 0.011 0.001 0.012    | 0.66 +0.17 0.346  |   0.52  | 0.031   15.2  1 0.060          | 0.46 0.55 +0.30  58.3 +3.45     |  7.19  2 0.060 +0.021 0.439 0.77
  R5 dobb ident                  8 | 0.046 0.012 0.003 0.020    | 0.65 +0.27 0.346  |   0.64  | 0.030   10.3  1 0.067          | 0.47 0.55 +0.32  37.1 +2.15     |  4.89  2 0.020 +0.008 0.398 0.67
  R5 dobb ident                 12 | 0.065 0.013 0.011 0.026    | 0.62 +0.14 0.339  |   0.61  | 0.036    6.2  1 0.075          | 0.48 0.54 +0.31  21.3 +0.97     |  6.40  3 0.141 +0.029 0.437 0.82
  R5 dobb ident                 19 | 0.098 0.001 0.010 0.044    | 0.60 +0.16 0.337  |   0.32  | 0.034    4.1  0 0.092          | 0.52 0.57 +0.35  11.0 +0.50     |  5.57  0 0.104 +0.044 0.395 0.66
  R5 dobb ident                 26 | 0.036 0.005 0.005 0.054    | 0.57 +0.11 0.331  |   0.51  | 0.033    3.2  0 0.097          | 0.52 0.57 +0.40   7.7 +0.36     |  4.81  0 0.097 +0.056 0.375 0.68
  R5 dobb .0006                  6 | 0.031 0.017 0.009 0.015    | 0.65 +0.41 0.362  |   2.68  | 0.024   16.1  1 0.060          | 0.46 0.54 +0.46  61.4 +5.36     |  5.81  4 0.282 +0.113 0.333 0.51
  R5 dobb .0006                  8 | 0.050 0.019 0.014 0.022    | 0.63 +0.51 0.370  |   1.99  | 0.025   10.8  1 0.067          | 0.47 0.55 +0.47  38.5 +3.13     |  4.36  2 0.285 +0.114 0.313 0.44
  R5 dobb .0006                 12 | 0.077 0.010 0.016 0.033    | 0.60 +0.62 0.370  |   1.09  | 0.027    6.6  1 0.075          | 0.47 0.53 +0.52  22.3 +1.64     |  3.22  3 0.387 +0.155 0.292 0.36
  R5 dobb .0006                 19 | 0.137 0.010 0.023 0.053    | 0.58 +0.55 0.360  |   0.70  | 0.032    4.3  0 0.092          | 0.52 0.57 +0.59  11.3 +0.84     |  3.06  1 0.240 +0.096 0.293 0.20
  R5 dobb .0006                 26 | 0.127 0.014 0.019 0.062    | 0.56 +0.44 0.346  |   0.20  | 0.029    3.5  0 0.097          | 0.52 0.57 +0.64   7.9 +0.57     |  3.38  0 0.346 +0.139 0.292 0.18
  R5 dobb .0010                  6 | 0.030 0.015 0.007 0.014    | 0.65 +0.32 0.352  |   1.91  | 0.026   15.8  1 0.060          | 0.46 0.54 +0.40  60.3 +4.65     |  5.89  3 0.175 +0.070 0.358 0.68
  R5 dobb .0010                  8 | 0.049 0.015 0.012 0.022    | 0.64 +0.42 0.357  |   1.49  | 0.027   10.6  1 0.067          | 0.47 0.55 +0.41  38.0 +2.75     |  4.36  2 0.194 +0.078 0.328 0.71
  R5 dobb .0010                 12 | 0.076 0.012 0.017 0.032    | 0.60 +0.54 0.359  |   0.97  | 0.028    6.5  1 0.075          | 0.47 0.53 +0.49  22.2 +1.52     |  3.22  3 0.302 +0.121 0.293 0.47
  R5 dobb .0010                 19 | 0.137 0.010 0.021 0.053    | 0.58 +0.50 0.355  |   0.62  | 0.033    4.3  0 0.092          | 0.52 0.57 +0.55  11.3 +0.79     |  3.10  1 0.205 +0.082 0.294 0.19
  R5 dobb .0010                 26 | 0.129 0.026 0.012 0.063    | 0.56 +0.41 0.343  |   0.35  | 0.029    3.5  0 0.097          | 0.52 0.57 +0.59   7.9 +0.53     |  3.74  0 0.335 +0.135 0.300 0.16
  R5 dobb .0006 Kv1e-3 rc.01     6 | 0.026 0.021 0.005 0.013    | 0.66 +0.31 0.354  |   2.43  | 0.024   13.3  1 0.057          | 0.45 0.54 +0.35  55.4 +4.05     |  4.80  3 0.248 +0.099 0.334 0.71
  R5 dobb .0006 Kv1e-3 rc.01     8 | 0.042 0.028 0.010 0.021    | 0.64 +0.41 0.360  |   1.91  | 0.025    8.8  1 0.065          | 0.46 0.54 +0.35  34.6 +2.36     |  3.33  2 0.259 +0.104 0.308 0.48
  R5 dobb .0006 Kv1e-3 rc.01    12 | 0.069 0.020 0.006 0.031    | 0.61 +0.52 0.362  |   1.24  | 0.026    5.5  1 0.073          | 0.47 0.53 +0.40  20.2 +1.25     |  2.41  2 0.366 +0.147 0.281 0.37
  R5 dobb .0006 Kv1e-3 rc.01    19 | 0.129 0.013 0.045 0.054    | 0.58 +0.50 0.356  |   0.58  | 0.033    3.9  0 0.091          | 0.51 0.56 +0.50  10.8 +0.72     |  2.19  0 0.291 +0.117 0.292 0.26
  R5 dobb .0006 Kv1e-3 rc.01    26 | 0.132 0.017 0.024 0.062    | 0.56 +0.42 0.345  |   0.26  | 0.035    3.5  0 0.097          | 0.52 0.57 +0.59   7.7 +0.53     |  2.84  0 0.296 +0.119 0.289 0.12
  R5 dobb .0006 Kv1e-3 rc.03     6 | 0.027 0.020 0.005 0.014    | 0.65 +0.31 0.354  |   2.35  | 0.024   14.3  1 0.058          | 0.45 0.54 +0.36  57.7 +4.25     |  5.57  4 0.249 +0.100 0.333 0.70
  R5 dobb .0006 Kv1e-3 rc.03     8 | 0.044 0.025 0.007 0.021    | 0.64 +0.41 0.360  |   1.89  | 0.025    9.5  1 0.065          | 0.46 0.54 +0.36  36.5 +2.43     |  3.93  2 0.260 +0.104 0.308 0.48
  R5 dobb .0006 Kv1e-3 rc.03    12 | 0.070 0.018 0.008 0.031    | 0.60 +0.52 0.360  |   1.14  | 0.026    6.0  1 0.073          | 0.47 0.53 +0.43  21.4 +1.36     |  2.76  2 0.365 +0.146 0.279 0.35
  R5 dobb .0006 Kv1e-3 rc.03    19 | 0.135 0.001 0.034 0.053    | 0.58 +0.50 0.355  |   0.57  | 0.033    4.1  0 0.091          | 0.51 0.56 +0.54  11.3 +0.77     |  2.78  1 0.284 +0.114 0.292 0.21
