v293r5_design_lowspeed -- shortlist at 6 / 8 / 12 m/s, and the SMALL-STEP stiction test T7 at 8 / 12 / 19 / 26 m/s (F x1.5)

============================================================================================================================================
WORLD ident (b F1, J 1e-4) | NEED x1.0 | low speed
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  R4-flown                         6 |  0.026  0.031  0.032  0.028    |  0.81  +0.13  0.368    |   0.96  |  0.040     9.7   1  0.068
  R4-flown                         8 |  0.042  0.049  0.050  0.044    |  0.77  +0.18  0.368    |   0.94  |  0.045     5.7   0  0.078
  R4-flown                        12 |  0.052  0.065  0.056  0.048    |  0.84  +0.14  0.380    |   0.04  |  0.048     3.6   0  0.091
  R4+DOB.8 Ki.3flat                6 |  0.020  0.019  0.002  0.012    |  0.80  +0.11  0.365    |   1.14  |  0.032    11.6   1  0.062
  R4+DOB.8 Ki.3flat                8 |  0.033  0.029  0.004  0.019    |  0.76  +0.17  0.365    |   1.40  |  0.032     7.5   1  0.070
  R4+DOB.8 Ki.3flat               12 |  0.042  0.038  0.004  0.024    |  0.84  +0.08  0.372    |   0.62  |  0.039     3.6   0  0.079
  Kp1.2 notch DOB.8 Ki.3           6 |  0.020  0.018  0.001  0.012    |  0.80  +0.11  0.365    |   1.22  |  0.032    11.6   1  0.062
  Kp1.2 notch DOB.8 Ki.3           8 |  0.032  0.028  0.003  0.018    |  0.76  +0.18  0.364    |   1.27  |  0.032     7.6   1  0.069
  Kp1.2 notch DOB.8 Ki.3          12 |  0.041  0.034  0.004  0.022    |  0.83  +0.10  0.370    |   0.19  |  0.038     3.6   0  0.078
  Kp1.5 notch DOB.8 Ki.3           6 |  0.020  0.018  0.001  0.011    |  0.79  +0.12  0.364    |   1.25  |  0.032    11.6   1  0.062
  Kp1.5 notch DOB.8 Ki.3           8 |  0.032  0.028  0.003  0.018    |  0.75  +0.19  0.364    |   1.22  |  0.032     7.7   1  0.068
  Kp1.5 notch DOB.8 Ki.3          12 |  0.040  0.033  0.003  0.022    |  0.81  +0.12  0.369    |   0.33  |  0.037     3.6   0  0.077
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     6 |  0.016  0.013  0.000  0.008    |  0.75  +0.07  0.354    |   0.17  |  0.031    10.4   1  0.056
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |  0.026  0.020  0.001  0.013    |  0.71  +0.13  0.352    |   0.59  |  0.030     6.9   1  0.061
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |  0.034  0.022  0.009  0.016    |  0.77  +0.08  0.358    |   0.12  |  0.035     3.6   0  0.068
