v293r5_design_ship -- shipping candidates x every world x every test

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                         6 | 0.035 0.038 0.035 0.031    | 0.66 +0.40 0.365  |   1.84  | 0.033   11.7  1 0.063          | 0.47 0.56 +0.33  56.1 +3.88     |  5.08  4 0.264 +0.106 0.333 0.84
  R4-flown                         8 | 0.057 0.060 0.053 0.048    | 0.64 +0.49 0.372  |   1.53  | 0.039    6.9  1 0.074          | 0.49 0.57 +0.27  33.9 +1.82     |  3.62  2 0.217 +0.087 0.313 0.72
  R4-flown                        12 | 0.092 0.085 0.048 0.056    | 0.60 +0.61 0.374  |   0.15  | 0.040    4.1  0 0.084          | 0.49 0.55 +0.31  19.3 +0.97     |  2.58  2 0.238 +0.095 0.298 0.67
  R4-flown                        19 | 0.165 0.085 0.021 0.074    | 0.59 +0.57 0.369  |   0.48  | 0.045    3.5  0 0.105          | 0.54 0.60 +0.34   9.1 +0.48     |  2.22  1 0.206 +0.083 0.312 0.65
  R4-flown                        26 | 0.201 0.102 0.021 0.088    | 0.57 +0.47 0.352  |   0.29  | 0.048    3.6  0 0.113          | 0.55 0.61 +0.34   6.0 +0.31     |  2.48  0 0.169 +0.068 0.298 0.57
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    6 | 0.027 0.022 0.000 0.013    | 0.67 +0.17 0.345  |   0.93  | 0.031   12.9  1 0.059          | 0.46 0.54 +0.22  54.3 +2.63     |  6.06  2 0.092 +0.024 0.438 0.76
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    8 | 0.045 0.034 0.000 0.021    | 0.65 +0.26 0.346  |   0.75  | 0.031    8.4  1 0.067          | 0.47 0.55 +0.22  34.3 +1.49     |  4.24  2 0.036 +0.012 0.399 0.63
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   12 | 0.068 0.032 0.001 0.030    | 0.63 +0.20 0.341  |   0.42  | 0.037    5.1  1 0.076          | 0.47 0.54 +0.21  19.7 +0.67     |  3.20  3 0.177 +0.024 0.435 0.84
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   19 | 0.139 0.026 0.020 0.053    | 0.60 +0.22 0.340  |   0.36  | 0.041    3.5  0 0.097          | 0.53 0.59 +0.25   9.9 +0.35     |  3.51  0 0.066 +0.026 0.391 0.86
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6   26 | 0.137 0.019 0.019 0.063    | 0.58 +0.17 0.335  |   0.09  | 0.034    3.4  0 0.105          | 0.54 0.59 +0.29   6.6 +0.26     |  3.58  0 0.059 +0.024 0.369 0.87
  ALT-A rc.01                      6 | 0.026 0.022 0.001 0.013    | 0.67 +0.16 0.345  |   0.92  | 0.031   12.0  1 0.058          | 0.46 0.55 +0.21  52.1 +2.42     |  5.24  2 0.096 +0.025 0.439 0.80
  ALT-A rc.01                      8 | 0.042 0.035 0.000 0.021    | 0.65 +0.25 0.346  |   0.30  | 0.031    7.8  1 0.066          | 0.47 0.55 +0.21  32.5 +1.38     |  3.52  2 0.036 +0.012 0.399 0.64
  ALT-A rc.01                     12 | 0.067 0.034 0.001 0.030    | 0.63 +0.20 0.341  |   0.18  | 0.037    4.7  0 0.076          | 0.47 0.54 +0.18  18.6 +0.55     |  2.46  3 0.176 +0.024 0.435 0.85
  ALT-A rc.01                     19 | 0.127 0.035 0.027 0.053    | 0.60 +0.22 0.341  |   0.36  | 0.041    3.5  0 0.097          | 0.52 0.59 +0.24   9.5 +0.35     |  2.92  0 0.070 +0.028 0.389 0.88
  ALT-A rc.01                     26 | 0.139 0.020 0.028 0.062    | 0.58 +0.18 0.336  |   0.11  | 0.035    3.5  0 0.105          | 0.54 0.60 +0.37   6.5 +0.33     |  3.26  0 0.052 +0.021 0.369 0.87
  ALT-B Kp.85                      6 | 0.027 0.024 0.000 0.013    | 0.67 +0.16 0.345  |   0.92  | 0.031   12.9  1 0.059          | 0.46 0.55 +0.22  54.3 +2.62     |  6.05  2 0.092 +0.030 0.443 0.77
  ALT-B Kp.85                      8 | 0.044 0.034 0.001 0.021    | 0.65 +0.25 0.346  |   0.70  | 0.031    8.3  1 0.067          | 0.47 0.55 +0.22  34.2 +1.47     |  4.21  2 0.043 +0.017 0.403 0.63
  ALT-B Kp.85                     12 | 0.070 0.033 0.001 0.031    | 0.63 +0.20 0.341  |   0.32  | 0.037    5.0  1 0.077          | 0.47 0.54 +0.21  19.6 +0.66     |  3.33  3 0.188 +0.028 0.444 0.84
  ALT-B Kp.85                     19 | 0.141 0.031 0.026 0.055    | 0.60 +0.22 0.341  |   0.53  | 0.042    3.5  0 0.099          | 0.53 0.59 +0.25   9.5 +0.35     |  3.45  0 0.086 +0.034 0.400 0.85
  ALT-B Kp.85                     26 | 0.149 0.028 0.025 0.066    | 0.58 +0.18 0.337  |   0.22  | 0.036    3.5  0 0.107          | 0.55 0.61 +0.30   6.2 +0.27     |  3.36  0 0.051 +0.021 0.376 0.90
  ALT-C Kv6e-4                     6 | 0.031 0.022 0.000 0.014    | 0.66 +0.23 0.349  |   0.62  | 0.031   14.3  1 0.061          | 0.47 0.55 +0.31  57.5 +3.61     |  6.21  2 0.060 +0.024 0.433 0.72
  ALT-C Kv6e-4                     8 | 0.050 0.029 0.001 0.023    | 0.64 +0.33 0.352  |   0.88  | 0.031    9.5  1 0.069          | 0.48 0.56 +0.31  36.0 +2.06     |  4.32  2 0.022 +0.003 0.395 0.61
  ALT-C Kv6e-4                    12 | 0.075 0.030 0.001 0.031    | 0.62 +0.25 0.345  |   0.40  | 0.037    5.6  1 0.078          | 0.48 0.54 +0.29  20.5 +0.90     |  3.82  3 0.198 +0.026 0.438 0.88
  ALT-C Kv6e-4                    19 | 0.143 0.019 0.017 0.053    | 0.60 +0.26 0.343  |   0.16  | 0.035    3.6  0 0.098          | 0.53 0.59 +0.30   9.8 +0.43     |  4.12  0 0.048 +0.019 0.391 0.82
  ALT-C Kv6e-4                    26 | 0.121 0.021 0.009 0.063    | 0.58 +0.20 0.337  |   0.20  | 0.035    3.4  0 0.105          | 0.54 0.60 +0.37   6.6 +0.33     |  4.10  0 0.097 +0.043 0.373 0.78
  SHIP DOB.8                       6 | 0.026 0.015 0.001 0.012    | 0.67 +0.12 0.343  |   0.25  | 0.031   13.8  1 0.058          | 0.45 0.54 +0.21  54.7 +2.46     |  6.87  2 0.099 +0.030 0.449 0.72
  SHIP DOB.8                       8 | 0.042 0.019 0.002 0.019    | 0.65 +0.21 0.342  |   0.53  | 0.030    9.2  1 0.065          | 0.47 0.54 +0.23  35.1 +1.53     |  4.74  2 0.045 +0.018 0.408 0.65
  SHIP DOB.8                      12 | 0.064 0.019 0.012 0.026    | 0.64 +0.10 0.337  |   0.59  | 0.036    5.6  1 0.074          | 0.47 0.53 +0.21  20.3 +0.66     |  4.58  3 0.175 +0.029 0.449 0.83
  SHIP DOB.8                      19 | 0.105 0.012 0.017 0.045    | 0.61 +0.12 0.336  |   0.14  | 0.034    3.8  0 0.093          | 0.52 0.57 +0.29  10.6 +0.42     |  4.53  0 0.081 +0.032 0.399 0.85
  SHIP DOB.8                      26 | 0.067 0.001 0.011 0.056    | 0.58 +0.09 0.332  |   0.42  | 0.033    3.2  0 0.100          | 0.53 0.58 +0.36   7.3 +0.33     |  4.39  0 0.073 +0.029 0.375 0.84

======================================================================================================================================================
