v293r5_loopshape -- linear margins of the fork loop on the V293 plant.  Plant e^{-s Td}/(a + b s + J s^2), J 1e-4,
Td 0.04 + 0.02 meas, a = hold slope at 0 deg.  Controller: fork P (lsf) + I via LAF 14, notch Q (0 = off), rate loop Kv tapered 12/v.
Columns: Ms | wc Hz | PM deg | |S| at 0.1 / 0.2 / 0.5 / 1 Hz | static stiffness (1+L0, Ki=0) | stiction residual F/stiff: deg, m/s^2

==================================================================================================================================
plant damping b = IDENT F1 per band (0.0018/0.0037/0.0041/0.0049)

  v    8 m/s  a 0.0052 torque/deg  b 0.0018  mode_hz(fork) 1.28  A 0.022 m/s^2 per deg  lsf 1.823
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.31  0.13  118.0 |  0.55  0.64  0.82  0.88 |   1.82 |   1.27  0.028
  Kp.85 Ki0 notch1 Kv6e-4            |  1.31   nan    nan |  0.56  0.58  0.75  0.88 |   1.82 |   1.27  0.028
  Kp.85 Ki0 NO notch Kv6e-4          |  1.31   nan    nan |  0.55  0.57  0.63  0.77 |   1.82 |   1.27  0.028
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.35  0.13  166.1 |  0.50  0.51  0.59  0.76 |   2.02 |   1.14  0.026
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.38  0.39  140.7 |  0.47  0.48  0.57  0.75 |   2.18 |   1.06  0.024
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.41  0.55  126.8 |  0.43  0.45  0.54  0.74 |   2.33 |   0.99  0.022
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.45  0.68  116.3 |  0.41  0.42  0.51  0.73 |   2.48 |   0.93  0.021
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.60  0.52  140.4 |  0.46  0.47  0.53  0.65 |   2.18 |   1.06  0.024
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.63  0.72  126.3 |  0.43  0.44  0.50  0.64 |   2.33 |   0.99  0.022
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  1.82  1.06  110.4 |  0.41  0.42  0.47  0.59 |   2.48 |   0.93  0.021
  Kp2.0 Ki0 notch1 Kv6e-4            |  1.37  0.29  137.4 |  0.47  0.50  0.69  0.93 |   2.18 |   1.06  0.024
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.60  0.44  140.3 |  0.47  0.49  0.54  0.66 |   2.18 |   1.06  0.024
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.63  0.67  126.6 |  0.44  0.46  0.52  0.65 |   2.33 |   0.99  0.022
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.30  0.34  133.6 |  0.47  0.49  0.63  1.00 |   2.18 |   1.06  0.024

  v   12 m/s  a 0.0088 torque/deg  b 0.0037  mode_hz(fork) 1.67  A 0.048 m/s^2 per deg  lsf 0.694
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.17  0.16   91.9 |  0.54  0.77  0.97  1.00 |   1.60 |   0.85  0.041
  Kp.85 Ki0 notch1 Kv6e-4            |  1.17   nan    nan |  0.64  0.68  0.83  0.97 |   1.60 |   0.85  0.041
  Kp.85 Ki0 NO notch Kv6e-4          |  1.17   nan    nan |  0.64  0.66  0.76  0.88 |   1.60 |   0.85  0.041
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.20   nan    nan |  0.55  0.58  0.71  0.87 |   1.85 |   0.73  0.035
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.22  0.12  162.5 |  0.50  0.53  0.67  0.86 |   2.04 |   0.67  0.032
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.25  0.30  139.6 |  0.46  0.49  0.63  0.85 |   2.23 |   0.61  0.029
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.28  0.43  127.2 |  0.42  0.45  0.60  0.83 |   2.43 |   0.56  0.027
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.32  0.13  163.8 |  0.50  0.53  0.64  0.79 |   2.04 |   0.67  0.032
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.35  0.32  142.3 |  0.46  0.48  0.61  0.78 |   2.23 |   0.61  0.029
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  1.44  0.46  131.8 |  0.42  0.45  0.56  0.74 |   2.43 |   0.56  0.027
  Kp2.0 Ki0 notch1 Kv6e-4            |  1.21  0.11  159.9 |  0.50  0.54  0.76  1.05 |   2.04 |   0.67  0.032
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.32  0.15  142.9 |  0.51  0.54  0.66  0.80 |   2.04 |   0.67  0.032
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.35  0.30  136.4 |  0.46  0.50  0.62  0.79 |   2.23 |   0.61  0.029
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.17  0.12  160.2 |  0.50  0.54  0.72  0.99 |   2.04 |   0.67  0.032

  v   19 m/s  a 0.0111 torque/deg  b 0.0041  mode_hz(fork) 1.87  A 0.105 m/s^2 per deg  lsf 0.189
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.21  0.31   71.9 |  0.30  0.59  1.12  1.17 |   1.70 |   0.64  0.067
  Kp.85 Ki0 notch1 Kv6e-4            |  1.13   nan    nan |  0.60  0.63  0.81  1.06 |   1.70 |   0.64  0.067
  Kp.85 Ki0 NO notch Kv6e-4          |  1.14   nan    nan |  0.60  0.62  0.74  0.91 |   1.70 |   0.64  0.067
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.22  0.26  145.2 |  0.48  0.50  0.64  0.87 |   2.15 |   0.50  0.053
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.29  0.51  120.3 |  0.41  0.44  0.57  0.83 |   2.49 |   0.44  0.046
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.37  0.71  105.5 |  0.36  0.38  0.51  0.79 |   2.82 |   0.38  0.040
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.46  0.90   94.5 |  0.32  0.34  0.46  0.74 |   3.16 |   0.34  0.036
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.32  0.52  122.3 |  0.41  0.43  0.56  0.80 |   2.49 |   0.44  0.046
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.40  0.73  107.7 |  0.36  0.38  0.50  0.76 |   2.82 |   0.38  0.040
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  1.51  0.93   97.7 |  0.32  0.34  0.46  0.70 |   3.16 |   0.34  0.036
  Kp2.0 Ki0 notch1 Kv6e-4            |  1.27  0.46  109.6 |  0.41  0.44  0.64  1.19 |   2.49 |   0.44  0.046
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.32  0.52  117.6 |  0.41  0.44  0.58  0.81 |   2.49 |   0.44  0.046
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.40  0.72  105.1 |  0.36  0.39  0.52  0.77 |   2.82 |   0.38  0.040
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.29  0.50  116.9 |  0.41  0.44  0.58  0.90 |   2.49 |   0.44  0.046

  v   26 m/s  a 0.0149 torque/deg  b 0.0049  mode_hz(fork) 2.17  A 0.168 m/s^2 per deg  lsf 0.057
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.24  0.34   74.7 |  0.29  0.55  1.04  1.24 |   1.73 |   0.47  0.078
  Kp.85 Ki0 notch1 Kv6e-4            |  1.13   nan    nan |  0.59  0.62  0.78  1.07 |   1.73 |   0.47  0.078
  Kp.85 Ki0 NO notch Kv6e-4          |  1.14   nan    nan |  0.59  0.61  0.73  0.91 |   1.73 |   0.47  0.078
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.25  0.39  133.6 |  0.45  0.47  0.60  0.84 |   2.25 |   0.36  0.060
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.35  0.68  109.7 |  0.38  0.40  0.52  0.78 |   2.65 |   0.30  0.051
  Kp2.5 Ki0 NO notch Kv6e-4          |  1.47  0.93   94.6 |  0.33  0.35  0.46  0.72 |   3.05 |   0.26  0.044
  Kp3.0 Ki0 NO notch Kv6e-4          |  1.61  1.16   82.9 |  0.30  0.31  0.41  0.66 |   3.45 |   0.23  0.039
  Kp2.0 Ki0 NO notch Kv1e-3          |  1.36  0.69  111.1 |  0.38  0.40  0.51  0.76 |   2.65 |   0.30  0.051
  Kp2.5 Ki0 NO notch Kv1e-3          |  1.48  0.94   96.0 |  0.33  0.35  0.45  0.70 |   3.05 |   0.26  0.044
  Kp3.0 Ki0 NO notch Kv1.2e-3        |  1.62  1.18   84.8 |  0.29  0.31  0.40  0.64 |   3.45 |   0.23  0.039
  Kp2.0 Ki0 notch1 Kv6e-4            |  1.41  0.62   97.0 |  0.39  0.41  0.57  1.11 |   2.65 |   0.30  0.051
  Kp2.0 Ki0.6 NO notch Kv1e-3        |  1.37  0.69  107.4 |  0.38  0.41  0.53  0.78 |   2.65 |   0.30  0.051
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.48  0.94   93.9 |  0.33  0.36  0.46  0.72 |   3.05 |   0.26  0.044
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.36  0.68  107.6 |  0.38  0.40  0.52  0.81 |   2.65 |   0.30  0.051

==================================================================================================================================
plant damping b = 0.0006 (rev-3/4 design value)

  v    8 m/s  a 0.0052 torque/deg  b 0.0006  mode_hz(fork) 1.28  A 0.022 m/s^2 per deg  lsf 1.823
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.76  1.47  101.1 |  0.52  0.58  0.62  0.67 |   1.82 |   1.27  0.028
  Kp.85 Ki0 notch1 Kv6e-4            |  1.76  1.47  102.2 |  0.55  0.55  0.58  0.66 |   1.82 |   1.27  0.028
  Kp.85 Ki0 NO notch Kv6e-4          |  1.92  1.64   56.3 |  0.55  0.54  0.49  0.44 |   1.82 |   1.27  0.028
  Kp1.5 Ki0 NO notch Kv6e-4          |  2.15  1.73   46.3 |  0.49  0.49  0.45  0.42 |   2.02 |   1.14  0.026
  Kp2.0 Ki0 NO notch Kv6e-4          |  2.38  1.80   39.7 |  0.46  0.45  0.42  0.40 |   2.18 |   1.06  0.024
  Kp2.5 Ki0 NO notch Kv6e-4          |  2.66  1.86   33.8 |  0.43  0.42  0.39  0.37 |   2.33 |   0.99  0.022
  Kp3.0 Ki0 NO notch Kv6e-4          |  3.02  1.93   28.6 |  0.40  0.40  0.37  0.36 |   2.48 |   0.93  0.021
  Kp2.0 Ki0 NO notch Kv1e-3          |  3.15  2.19   30.7 |  0.46  0.45  0.39  0.32 |   2.18 |   1.06  0.024
