  75604b0a432fdc89_00000064--ce6b0b0ebb--0--rlog.zst  carState 5680
  75604b0a432fdc89_00000064--ce6b0b0ebb--1--rlog.zst  carState 5970
  75604b0a432fdc89_00000064--ce6b0b0ebb--2--rlog.zst  carState 5975
  75604b0a432fdc89_00000064--ce6b0b0ebb--3--rlog.zst  carState 5974
  75604b0a432fdc89_00000064--ce6b0b0ebb--4--rlog.zst  carState 5973
  75604b0a432fdc89_00000064--ce6b0b0ebb--5--rlog.zst  carState 5975
  75604b0a432fdc89_00000064--ce6b0b0ebb--6--rlog.zst  carState 5973
  75604b0a432fdc89_00000064--ce6b0b0ebb--7--rlog.zst  carState 5974
  75604b0a432fdc89_00000064--ce6b0b0ebb--8--rlog.zst  carState 5973
  75604b0a432fdc89_00000064--ce6b0b0ebb--9--rlog.zst  carState 5974
  75604b0a432fdc89_00000064--ce6b0b0ebb--10--rlog.zst  carState 5975
  75604b0a432fdc89_00000064--ce6b0b0ebb--11--rlog.zst  carState 5975
  75604b0a432fdc89_00000064--ce6b0b0ebb--12--rlog.zst  carState 5974
  75604b0a432fdc89_00000064--ce6b0b0ebb--13--rlog.zst  carState 5973
  75604b0a432fdc89_00000064--ce6b0b0ebb--14--rlog.zst  carState 5975
  75604b0a432fdc89_00000064--ce6b0b0ebb--15--rlog.zst  carState 1478
00000064--ce6b0b0ebb {'cb_t': 91255, 'f14_t': 91483, 'f18_t': 91481, 'fab_t': 45740, 'fe4_t': 90193, 'sc_t': 90206, 'cs_t': 90791, 'ct_t': 90819, 'cc_t': 90819, 'co_t': 90791}
