  75604b0a432fdc89_0000006c--2bc842dbac--0--rlog.zst  carState 5949
  75604b0a432fdc89_0000006c--2bc842dbac--1--rlog.zst  carState 5969
  75604b0a432fdc89_0000006c--2bc842dbac--2--rlog.zst  carState 5972
  75604b0a432fdc89_0000006c--2bc842dbac--3--rlog.zst  carState 5971
  75604b0a432fdc89_0000006c--2bc842dbac--4--rlog.zst  carState 5970
  75604b0a432fdc89_0000006c--2bc842dbac--5--rlog.zst  carState 5960
  75604b0a432fdc89_0000006c--2bc842dbac--6--rlog.zst  carState 5972
  75604b0a432fdc89_0000006c--2bc842dbac--7--rlog.zst  carState 5969
  75604b0a432fdc89_0000006c--2bc842dbac--8--rlog.zst  carState 5974
  75604b0a432fdc89_0000006c--2bc842dbac--9--rlog.zst  carState 5969
  75604b0a432fdc89_0000006c--2bc842dbac--10--rlog.zst  carState 5970
  75604b0a432fdc89_0000006c--2bc842dbac--11--rlog.zst  carState 5971
  75604b0a432fdc89_0000006c--2bc842dbac--12--rlog.zst  carState 5972
  75604b0a432fdc89_0000006c--2bc842dbac--13--rlog.zst  carState 5970
  75604b0a432fdc89_0000006c--2bc842dbac--14--rlog.zst  carState 5972
  75604b0a432fdc89_0000006c--2bc842dbac--15--rlog.zst  carState 5972
  75604b0a432fdc89_0000006c--2bc842dbac--16--rlog.zst  carState 5970
  75604b0a432fdc89_0000006c--2bc842dbac--17--rlog.zst  carState 5971
  75604b0a432fdc89_0000006c--2bc842dbac--18--rlog.zst  carState 5971
  75604b0a432fdc89_0000006c--2bc842dbac--19--rlog.zst  carState 5968
0000006c--2bc842dbac {'cb_t': 119584, 'f14_t': 120154, 'f18_t': 120155, 'fab_t': 60077, 'fe4_t': 118774, 'sc_t': 118778, 'cs_t': 119382, 'ct_t': 119429, 'cc_t': 119429, 'co_t': 119382}
