  75604b0a432fdc89_0000006d--05e83bb04f--0--rlog.zst  carState 5608
  75604b0a432fdc89_0000006d--05e83bb04f--1--rlog.zst  carState 5974
  75604b0a432fdc89_0000006d--05e83bb04f--2--rlog.zst  carState 5971
  75604b0a432fdc89_0000006d--05e83bb04f--3--rlog.zst  carState 5971
  75604b0a432fdc89_0000006d--05e83bb04f--4--rlog.zst  carState 5974
  75604b0a432fdc89_0000006d--05e83bb04f--5--rlog.zst  carState 5975
  75604b0a432fdc89_0000006d--05e83bb04f--6--rlog.zst  carState 5974
  75604b0a432fdc89_0000006d--05e83bb04f--7--rlog.zst  carState 5973
  75604b0a432fdc89_0000006d--05e83bb04f--8--rlog.zst  carState 5975
  75604b0a432fdc89_0000006d--05e83bb04f--9--rlog.zst  carState 5971
  75604b0a432fdc89_0000006d--05e83bb04f--10--rlog.zst  carState 5975
  75604b0a432fdc89_0000006d--05e83bb04f--11--rlog.zst  carState 5970
  75604b0a432fdc89_0000006d--05e83bb04f--12--rlog.zst  carState 5971
  75604b0a432fdc89_0000006d--05e83bb04f--13--rlog.zst  carState 5211
0000006d--05e83bb04f {'cb_t': 83026, 'f14_t': 83223, 'f18_t': 83224, 'fab_t': 41611, 'fe4_t': 81946, 'sc_t': 81956, 'cs_t': 82493, 'ct_t': 82538, 'cc_t': 82538, 'co_t': 82499}
