  75604b0a432fdc89_0000006e--6ca3e014fd--0--rlog.zst  carState 5542
  75604b0a432fdc89_0000006e--6ca3e014fd--1--rlog.zst  carState 5969
  75604b0a432fdc89_0000006e--6ca3e014fd--2--rlog.zst  carState 5972
  75604b0a432fdc89_0000006e--6ca3e014fd--3--rlog.zst  carState 5973
  75604b0a432fdc89_0000006e--6ca3e014fd--4--rlog.zst  carState 5974
  75604b0a432fdc89_0000006e--6ca3e014fd--5--rlog.zst  carState 5974
  75604b0a432fdc89_0000006e--6ca3e014fd--6--rlog.zst  carState 5972
  75604b0a432fdc89_0000006e--6ca3e014fd--7--rlog.zst  carState 5970
  75604b0a432fdc89_0000006e--6ca3e014fd--8--rlog.zst  carState 5975
  75604b0a432fdc89_0000006e--6ca3e014fd--9--rlog.zst  carState 5974
  75604b0a432fdc89_0000006e--6ca3e014fd--10--rlog.zst  carState 5974
  75604b0a432fdc89_0000006e--6ca3e014fd--11--rlog.zst  carState 5975
  75604b0a432fdc89_0000006e--6ca3e014fd--12--rlog.zst  carState 5973
  75604b0a432fdc89_0000006e--6ca3e014fd--13--rlog.zst  carState 5975
  75604b0a432fdc89_0000006e--6ca3e014fd--14--rlog.zst  carState 2246
0000006e--6ca3e014fd {'cb_t': 86019, 'f14_t': 86251, 'f18_t': 86252, 'fab_t': 43128, 'fe4_t': 84900, 'sc_t': 84914, 'cs_t': 85438, 'ct_t': 85471, 'cc_t': 85471, 'co_t': 85438}
