  75604b0a432fdc89_00000075--6c8687d5bd--0--rlog.zst  carState 5843
  75604b0a432fdc89_00000075--6c8687d5bd--1--rlog.zst  carState 5971
  75604b0a432fdc89_00000075--6c8687d5bd--2--rlog.zst  carState 5975
  75604b0a432fdc89_00000075--6c8687d5bd--3--rlog.zst  carState 5973
  75604b0a432fdc89_00000075--6c8687d5bd--4--rlog.zst  carState 5975
  75604b0a432fdc89_00000075--6c8687d5bd--5--rlog.zst  carState 5974
  75604b0a432fdc89_00000075--6c8687d5bd--6--rlog.zst  carState 5973
  75604b0a432fdc89_00000075--6c8687d5bd--7--rlog.zst  carState 5974
  75604b0a432fdc89_00000075--6c8687d5bd--8--rlog.zst  carState 5972
  75604b0a432fdc89_00000075--6c8687d5bd--9--rlog.zst  carState 5974
  75604b0a432fdc89_00000075--6c8687d5bd--10--rlog.zst  carState 5970
  75604b0a432fdc89_00000075--6c8687d5bd--11--rlog.zst  carState 5973
  75604b0a432fdc89_00000075--6c8687d5bd--12--rlog.zst  carState 5973
  75604b0a432fdc89_00000075--6c8687d5bd--13--rlog.zst  carState 5973
  75604b0a432fdc89_00000075--6c8687d5bd--14--rlog.zst  carState 2952
00000075--6c8687d5bd {'cb_t': 86775, 'f14_t': 87164, 'f18_t': 87165, 'fab_t': 43582, 'fe4_t': 85917, 'sc_t': 85938, 'cs_t': 86445, 'ct_t': 86494, 'cc_t': 86494, 'co_t': 86445}
