self-test OK: slip factor scales as 1/stiffness, rack map monotone, deg/curv in range, move clip exact

================================================================================================================
INSTRUMENT CHECK:  pid_log.output == -clip(p+i+f, +/-LAF)/LAF   (full scale = 1.0 torque)
================================================================================================================
route      rev                     n frames   max err   p99 err  frac>1e-3  LAF fitted  LAF toggle  frac at FS
r70        ident (FF OFF)             85641  5.96e-08  1.61e-08     0.0000      6.0000        6.00     0.00553
r71        rev 2                      87906  6.17e-08  1.49e-08     0.0000     14.0000       14.00     0.00022
r72        rev 3                      62412  8.94e-08  1.81e-08     0.0000     14.0000       14.00     0.00269
r73        rev 3 (+0.212 relay)       59633  6.44e-08  2.82e-08     0.0000     14.0000       14.00     0.00453
r74        rev 4                       3474  5.11e-08  2.55e-08     0.0000     14.0000       14.00     0.00000
r75        rev 4                      80118  9.37e-08  1.92e-08     0.0000     14.0000       14.00     0.00262
r76        rev 5                      52814  4.58e-08  1.65e-08     0.0000     14.0000       14.00     0.00000
r6c        rev 6.4                    60760  5.43e-08  1.88e-08     0.0000     14.0000       14.00     0.00202
r6d        rev 6.4                    65757  5.96e-08  2.52e-08     0.0000     14.0000       14.00     0.00344
r6e        rev 6.4 HoldLevel OFF      76569  5.96e-08  2.02e-08     0.0000     14.0000       14.00     0.00196

================================================================================================================
RECONSTRUCTION OF THE WHOLE ff_torque AT THE FLOWN GAIN vs LOGGED pid_log.f / LAF
================================================================================================================
route      offset      corr    slope  resid/sig   rms err  |ff| p99   speed band
r71        OFF       0.9958    1.025      0.094    0.0072     0.281   all
r71        OFF       0.9929    1.066      0.134    0.0089     0.261   2-8
r71        OFF       0.9962    1.045      0.097    0.0072     0.294   8-15
r71        OFF       0.9979    0.994      0.065    0.0055     0.278   >15
r71        ON        0.9958    1.025      0.094    0.0072     0.281   all
r71        ON        0.9929    1.066      0.134    0.0089     0.261   2-8
r71        ON        0.9962    1.045      0.097    0.0072     0.294   8-15
r71        ON        0.9979    0.994      0.065    0.0055     0.278   >15

r72        OFF       0.9992    0.999      0.041    0.0037     0.402   all
r72        OFF       1.0000    1.000      0.009    0.0015     0.459   2-8
r72        OFF       1.0000    1.000      0.006    0.0003     0.246   8-15
r72        OFF       1.0000    0.999      0.007    0.0002     0.087   >15
r72        ON        0.9992    0.999      0.041    0.0037     0.402   all
r72        ON        1.0000    1.000      0.009    0.0015     0.459   2-8
r72        ON        1.0000    1.000      0.006    0.0003     0.246   8-15
r72        ON        1.0000    0.999      0.007    0.0002     0.087   >15

r73        OFF       0.7840    1.066      0.623    0.0797     0.514   all
r73        OFF       0.7462    0.975      0.666    0.1556     0.821   2-8
r73        OFF       0.8490    1.298      0.563    0.0834     0.470   8-15
r73        OFF       0.7967    1.242      0.629    0.0265     0.136   >15
r73        ON        0.7809    1.031      0.625    0.0802     0.514   all
r73        ON        0.7444    0.945      0.669    0.1564     0.821   2-8
r73        ON        0.8475    1.301      0.567    0.0842     0.470   8-15
r73        ON        0.7925    1.280      0.633    0.0268     0.136   >15

r74        OFF       0.9996    0.998      0.028    0.0030     0.415   all
r74        OFF       0.9996    0.998      0.028    0.0030     0.416   2-8
r74        ON        0.9769    0.846      0.214    0.0401     0.415   all
r74        ON        0.9840    0.866      0.178    0.0362     0.416   2-8

r75        OFF       0.9998    0.999      0.021    0.0021     0.402   all
r75        OFF       0.9999    0.999      0.017    0.0026     0.466   2-8
r75        OFF       1.0000    0.999      0.005    0.0004     0.305   8-15
r75        OFF       1.0000    1.000      0.005    0.0003     0.203   >15
r75        ON        0.9998    0.999      0.021    0.0021     0.402   all
r75        ON        0.9999    0.999      0.017    0.0026     0.466   2-8
r75        ON        1.0000    0.999      0.005    0.0004     0.305   8-15
r75        ON        1.0000    1.000      0.005    0.0003     0.203   >15

r76        OFF       0.9999    1.001      0.011    0.0010     0.372   all
r76        OFF       1.0000    1.001      0.008    0.0015     0.446   2-8
r76        OFF       0.9999    1.002      0.011    0.0010     0.253   8-15
r76        OFF       0.9999    1.002      0.015    0.0007     0.145   >15
r76        ON        0.9999    1.001      0.011    0.0010     0.372   all
r76        ON        1.0000    1.001      0.008    0.0015     0.446   2-8
r76        ON        0.9999    1.002      0.011    0.0010     0.253   8-15
r76        ON        0.9999    1.002      0.015    0.0007     0.145   >15

r6c        OFF       0.9998    1.001      0.021    0.0017     0.382   all
r6c        OFF       0.9999    1.000      0.011    0.0018     0.455   2-8
r6c        OFF       0.9999    1.001      0.010    0.0007     0.256   8-15
r6c        OFF       0.9999    1.002      0.011    0.0005     0.141   >15
r6c        ON        0.7725    0.499      0.843    0.0844     0.382   all
r6c        ON        0.8900    0.630      0.497    0.1236     0.455   2-8
r6c        ON        0.9873    0.708      0.163    0.0414     0.256   8-15
r6c        ON        0.9969    0.681      0.079    0.0272     0.141   >15

r6d        OFF       0.9993    0.995      0.039    0.0039     0.441   all
r6d        OFF       0.9996    0.998      0.028    0.0049     0.793   2-8
r6d        OFF       0.9982    0.988      0.062    0.0058     0.424   8-15
r6d        OFF       0.9999    1.001      0.014    0.0006     0.149   >15
r6d        ON        0.8212    0.571      0.686    0.0861     0.441   all
r6d        ON        0.9117    0.659      0.414    0.1307     0.793   2-8
r6d        ON        0.9871    0.844      0.160    0.0423     0.424   8-15
r6d        ON        0.9966    0.799      0.082    0.0309     0.149   >15

r6e        OFF       0.9990    1.000      0.046    0.0055     0.416   all
r6e        OFF       0.9999    1.001      0.012    0.0022     0.571   2-8
r6e        OFF       1.0000    1.000      0.008    0.0008     0.340   8-15
r6e        OFF       1.0000    1.000      0.006    0.0005     0.210   >15
r6e        ON        0.9990    1.000      0.046    0.0055     0.416   all
r6e        ON        0.9999    1.001      0.012    0.0022     0.571   2-8
r6e        ON        1.0000    1.000      0.008    0.0008     0.340   8-15
r6e        ON        1.0000    1.000      0.006    0.0005     0.210   >15

