
##### V282old minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
2-8   0.05-0.15 mid     28/31   |    -0.025[-0.10,+0.11] +0.000 |    -0.867[-4.68,-0.45] |    +0.022[-2.52,+0.17] |    -0.857[-7.80,-0.39] |    -0.857[-7.80,-0.39] | 0.244/0.300
2-8   0.05-0.15 all    107/46   |    +0.022[-0.02,+0.10] -0.001 |    -0.656[-3.50,-0.10] |    +0.181[-1.41,+0.20] |    -0.459[-5.52,-0.00] |    -0.459[-5.52,-0.00] | 0.286/0.314
8-15  0.05-0.15 lo      77/74   |    -0.009[-0.02,+0.01] -0.001 |    -0.223[-0.61,+0.55] |    +0.023[-0.15,+0.17] |    -0.263[-0.76,+0.44] |    -0.263[-0.76,+0.44] | 0.290/0.291
8-15  0.05-0.15 mid     97/59   |    -0.005[-0.02,+0.02] +0.000 |    -0.056[-0.48,+0.34] |    +0.002[-0.26,+0.04] |    -0.100[-0.73,+0.28] |    -0.100[-0.73,+0.28] | 0.304/0.288
8-15  0.05-0.15 all    260/143  |    -0.010[-0.02,+0.01] +0.001 |    -0.064[-0.21,+0.13] |    +0.063[-0.02,+0.09] |    -0.027[-0.21,+0.11] |    -0.027[-0.21,+0.11] | 0.307/0.295
15-22 0.05-0.15 lo     171/69   |    +0.005[-0.01,+0.02] -0.001 |    +0.171[-0.29,+0.66] |    +0.035[-0.12,+0.22] |    +0.179[-0.27,+0.73] |    +0.179[-0.27,+0.73] | 0.286/0.286
15-22 0.05-0.15 mid    145/60   |    +0.004[-0.04,+0.03] +0.000 |    -0.295[-0.56,+0.50] |    +0.204[+0.02,+0.31] |    -0.107[-0.35,+0.59] |    -0.107[-0.35,+0.59] | 0.293/0.309
15-22 0.05-0.15 hi     182/38   |    -0.006[-0.02,+0.00] +0.000 |    -0.102[-0.25,+0.10] |    +0.146[+0.05,+0.23] |    +0.034[-0.09,+0.21] |    +0.034[-0.09,+0.21] | 0.305/0.304
15-22 0.05-0.15 all    497/167  |    -0.005[-0.02,+0.01] +0.000 |    -0.113[-0.29,+0.14] |    +0.151[+0.04,+0.22] |    +0.028[-0.13,+0.19] |    +0.028[-0.13,+0.19] | 0.303/0.304
>22   0.05-0.15 lo     519/156  |    +0.000[-0.02,+0.00] +0.000 |    -0.168[-0.43,+0.01] |    +0.142[+0.04,+0.25] |    -0.247[-0.52,+0.05] |    -0.247[-0.52,+0.05] | 0.292/0.299
>22   0.05-0.15 mid    614/144  |    +0.002[-0.01,+0.00] +0.001 |    -0.185[-0.33,-0.09] |    +0.112[+0.03,+0.17] |    -0.098[-0.33,+0.05] |    -0.098[-0.33,+0.05] | 0.300/0.300
>22   0.05-0.15 hi     643/37   |    -0.004[-0.01,+0.00] -0.000 |    -0.150[-0.23,-0.09] |    +0.120[+0.04,+0.16] |    -0.026[-0.14,+0.03] |    -0.026[-0.14,+0.03] | 0.300/0.303
>22   0.05-0.15 all   1777/337  |    -0.002[-0.01,+0.00] +0.000 |    -0.119[-0.24,-0.04] |    +0.136[+0.06,+0.17] |    -0.001[-0.17,+0.10] |    -0.001[-0.17,+0.10] | 0.300/0.301
2-8   0.15-0.3  lo     169/39   |    +0.001[-0.01,+0.02] +0.002 |    -0.033[-0.11,+0.19] |    +0.073[-0.05,+0.20] |    -0.007[-0.15,+0.26] |    -0.007[-0.15,+0.26] | 0.293/0.299
2-8   0.15-0.3  mid     46/43   |    +0.007[-0.01,+0.02] +0.002 |    -0.063[-0.17,+0.22] |    +0.032[-0.00,+0.11] |    -0.029[-0.16,+0.30] |    -0.029[-0.16,+0.30] | 0.293/0.319
2-8   0.15-0.3  hi      27/45   |    +0.010[-0.03,+0.04] +0.001 |    -0.086[-0.18,+0.13] |    +0.009[-0.03,+0.09] |    -0.066[-0.21,+0.16] |    -0.066[-0.21,+0.16] | 0.308/0.299
2-8   0.15-0.3  all    242/128  |    +0.009[-0.03,+0.03] +0.001 |    -0.084[-0.17,+0.12] |    +0.010[-0.04,+0.09] |    -0.065[-0.20,+0.14] |    -0.065[-0.20,+0.14] | 0.306/0.300
8-15  0.15-0.3  lo     360/175  |    +0.001[-0.01,+0.01] -0.000 |    +0.056[-0.01,+0.18] |    +0.067[+0.03,+0.14] |    +0.100[+0.02,+0.30] |    +0.100[+0.02,+0.30] | 0.295/0.299
8-15  0.15-0.3  mid    147/134  |    +0.005[-0.01,+0.01] +0.000 |    +0.037[-0.02,+0.17] |    +0.035[+0.01,+0.07] |    +0.073[+0.00,+0.21] |    +0.073[+0.00,+0.21] | 0.293/0.302
8-15  0.15-0.3  hi      85/62   |    -0.005[-0.02,+0.02] +0.002 |    +0.106[-0.07,+0.23] |    +0.032[+0.02,+0.05] |    +0.134[-0.04,+0.26] |    +0.134[-0.04,+0.26] | 0.296/0.299
8-15  0.15-0.3  all    592/371  |    -0.003[-0.02,+0.01] +0.002 |    +0.093[-0.02,+0.20] |    +0.034[+0.02,+0.05] |    +0.123[+0.01,+0.23] |    +0.123[+0.01,+0.23] | 0.296/0.300
15-22 0.15-0.3  lo     366/210  |    +0.004[-0.00,+0.01] +0.003 |    +0.015[-0.10,+0.15] |    +0.053[-0.02,+0.14] |    +0.023[-0.14,+0.22] |    +0.023[-0.14,+0.22] | 0.301/0.299
15-22 0.15-0.3  mid    175/66   |    +0.006[-0.00,+0.01] +0.003 |    +0.038[-0.04,+0.13] |    +0.041[-0.02,+0.10] |    +0.085[-0.05,+0.20] |    +0.085[-0.05,+0.20] | 0.300/0.299
15-22 0.15-0.3  hi      95/33   |    +0.005[-0.00,+0.02] +0.002 |    +0.021[-0.08,+0.10] |    +0.051[-0.01,+0.09] |    +0.077[-0.06,+0.16] |    +0.077[-0.06,+0.16] | 0.297/0.295
15-22 0.15-0.3  all    636/309  |    +0.005[-0.00,+0.02] +0.002 |    +0.029[-0.05,+0.11] |    +0.050[-0.01,+0.09] |    +0.080[-0.05,+0.17] |    +0.080[-0.05,+0.17] | 0.298/0.297
>22   0.15-0.3  lo     924/233  |    +0.003[-0.00,+0.01] +0.004 |    +0.059[-0.03,+0.13] |    -0.019[-0.07,+0.09] |    -0.013[-0.12,+0.14] |    -0.013[-0.12,+0.14] | 0.299/0.300
>22   0.15-0.3  mid    636/112  |    -0.001[-0.01,+0.00] +0.003 |    +0.038[-0.04,+0.08] |    +0.007[-0.02,+0.07] |    +0.025[-0.04,+0.09] |    +0.025[-0.04,+0.09] | 0.300/0.298
>22   0.15-0.3  hi     317/48   |    +0.000[-0.01,+0.00] +0.002 |    +0.060[+0.03,+0.08] |    +0.035[-0.01,+0.07] |    +0.093[+0.03,+0.13] |    +0.093[+0.03,+0.13] | 0.300/0.300
>22   0.15-0.3  all   1877/393  |    +0.000[-0.00,+0.00] +0.003 |    +0.057[+0.02,+0.08] |    +0.026[-0.00,+0.06] |    +0.072[+0.02,+0.11] |    +0.072[+0.02,+0.11] | 0.300/0.299
2-8   0.3-0.6   lo     219/39   |    -0.019[-0.05,-0.00] -0.003 |    +0.106[-0.00,+0.24] |    +0.007[-0.06,+0.24] |    +0.045[-0.09,+0.25] |    +0.045[-0.09,+0.25] | 0.305/0.275
2-8   0.3-0.6   mid     80/75   |    -0.001[-0.01,+0.01] +0.000 |    +0.061[-0.00,+0.19] |    -0.015[-0.05,+0.01] |    +0.035[-0.07,+0.18] |    +0.035[-0.07,+0.18] | 0.297/0.295
2-8   0.3-0.6   hi      38/74   |    +0.022[-0.02,+0.04] -0.002 |    +0.005[-0.10,+0.12] |    +0.030[+0.01,+0.04] |    +0.067[-0.04,+0.17] |    +0.067[-0.04,+0.17] | 0.285/0.296
2-8   0.3-0.6   all    337/188  |    +0.019[-0.02,+0.04] -0.002 |    +0.011[-0.07,+0.12] |    +0.027[+0.01,+0.04] |    +0.067[+0.00,+0.15] |    +0.067[+0.00,+0.15] | 0.286/0.296
8-15  0.3-0.6   lo     326/139  |    +0.004[-0.01,+0.01] -0.001 |    +0.031[-0.07,+0.16] |    +0.036[-0.03,+0.09] |    +0.039[-0.08,+0.17] |    +0.039[-0.08,+0.17] | 0.296/0.296
8-15  0.3-0.6   mid    210/151  |    -0.004[-0.02,+0.00] -0.004 |    +0.073[+0.03,+0.16] |    +0.013[-0.02,+0.06] |    +0.067[+0.02,+0.17] |    +0.067[+0.02,+0.17] | 0.295/0.295
8-15  0.3-0.6   hi     147/137  |    -0.010[-0.02,+0.01] -0.003 |    +0.070[+0.01,+0.15] |    +0.030[+0.01,+0.05] |    +0.087[+0.03,+0.18] |    +0.087[+0.03,+0.18] | 0.295/0.295
8-15  0.3-0.6   all    684/428  |    -0.009[-0.02,+0.01] -0.003 |    +0.068[+0.01,+0.15] |    +0.028[+0.01,+0.05] |    +0.081[+0.03,+0.16] |    +0.081[+0.03,+0.16] | 0.295/0.295
15-22 0.3-0.6   lo     391/151  |    -0.000[-0.01,+0.01] +0.000 |    +0.068[+0.02,+0.13] |    +0.077[-0.02,+0.13] |    +0.046[-0.05,+0.12] |    +0.046[-0.05,+0.12] | 0.300/0.297
15-22 0.3-0.6   mid    192/107  |    +0.003[-0.00,+0.01] +0.002 |    +0.025[-0.01,+0.07] |    +0.028[+0.00,+0.06] |    +0.036[-0.03,+0.11] |    +0.036[-0.03,+0.11] | 0.299/0.300
15-22 0.3-0.6   hi      82/83   |    -0.004[-0.02,+0.00] -0.000 |    +0.027[-0.02,+0.09] |    +0.016[-0.01,+0.04] |    +0.029[-0.03,+0.12] |    +0.029[-0.03,+0.12] | 0.300/0.299
15-22 0.3-0.6   all    665/342  |    -0.002[-0.01,+0.00] +0.000 |    +0.020[-0.02,+0.09] |    +0.019[-0.00,+0.06] |    +0.015[-0.04,+0.12] |    +0.015[-0.04,+0.12] | 0.300/0.299
>22   0.3-0.6   lo    1061/162  |    +0.002[-0.00,+0.01] +0.003 |    +0.008[-0.04,+0.03] |    +0.005[-0.04,+0.05] |    -0.039[-0.10,+0.01] |    -0.039[-0.10,+0.01] | 0.299/0.298
>22   0.3-0.6   mid    576/148  |    +0.003[-0.00,+0.01] +0.004 |    +0.031[-0.00,+0.05] |    -0.002[-0.03,+0.06] |    +0.010[-0.04,+0.08] |    +0.010[-0.04,+0.08] | 0.300/0.299
>22   0.3-0.6   hi     265/98   |    +0.003[-0.00,+0.01] +0.004 |    +0.022[+0.00,+0.04] |    -0.019[-0.04,+0.04] |    -0.003[-0.04,+0.06] |    -0.003[-0.04,+0.06] | 0.299/0.302
>22   0.3-0.6   all   1903/408  |    +0.003[-0.00,+0.01] +0.004 |    +0.017[-0.01,+0.04] |    -0.019[-0.04,+0.03] |    -0.020[-0.05,+0.04] |    -0.020[-0.05,+0.04] | 0.299/0.301
2-8   0.6-1.2   lo     194/58   |    -0.019[-0.03,-0.00] -0.011 |    +0.046[+0.03,+0.08] |    -0.004[-0.03,+0.07] |    +0.002[-0.07,+0.15] |    +0.002[-0.07,+0.15] | 0.301/0.294
2-8   0.6-1.2   mid    143/89   |    -0.012[-0.03,-0.01] -0.009 |    +0.050[+0.02,+0.17] |    -0.015[-0.10,+0.02] |    +0.031[-0.01,+0.10] |    +0.031[-0.01,+0.10] | 0.300/0.299
2-8   0.6-1.2   hi      54/75   |    +0.006[-0.04,+0.02] +0.004 |    +0.130[+0.02,+0.19] |    -0.014[-0.06,+0.01] |    +0.090[-0.07,+0.17] |    +0.090[-0.07,+0.17] | 0.297/0.297
2-8   0.6-1.2   all    391/222  |    +0.003[-0.03,+0.01] +0.001 |    +0.121[+0.02,+0.17] |    -0.014[-0.05,+0.01] |    +0.077[-0.03,+0.14] |    +0.077[-0.03,+0.14] | 0.298/0.297
8-15  0.6-1.2   lo     257/178  |    -0.004[-0.01,+0.00] -0.003 |    +0.033[+0.01,+0.07] |    +0.000[-0.05,+0.03] |    -0.003[-0.04,+0.06] |    -0.003[-0.04,+0.06] | 0.299/0.296
8-15  0.6-1.2   mid    252/161  |    -0.006[-0.01,+0.00] -0.003 |    +0.041[+0.03,+0.08] |    +0.009[-0.02,+0.06] |    +0.034[+0.00,+0.11] |    +0.034[+0.00,+0.11] | 0.301/0.298
8-15  0.6-1.2   hi     211/113  |    -0.004[-0.02,+0.02] -0.001 |    +0.030[+0.00,+0.07] |    -0.013[-0.04,+0.00] |    +0.007[-0.04,+0.05] |    +0.007[-0.04,+0.05] | 0.297/0.297
8-15  0.6-1.2   all    721/451  |    -0.004[-0.01,+0.01] -0.002 |    +0.032[+0.01,+0.07] |    -0.009[-0.03,+0.01] |    +0.010[-0.02,+0.05] |    +0.010[-0.02,+0.05] | 0.298/0.297
15-22 0.6-1.2   lo     271/131  |    -0.007[-0.02,+0.00] -0.008 |    +0.011[-0.03,+0.04] |    +0.102[+0.07,+0.14] |    +0.010[-0.05,+0.05] |    +0.010[-0.05,+0.05] | 0.299/0.297
15-22 0.6-1.2   mid    227/131  |    -0.005[-0.01,-0.00] -0.005 |    -0.014[-0.05,+0.01] |    +0.035[-0.01,+0.06] |    -0.013[-0.09,+0.03] |    -0.013[-0.09,+0.03] | 0.301/0.299
15-22 0.6-1.2   hi     181/95   |    -0.001[-0.00,+0.00] -0.001 |    -0.042[-0.06,+0.01] |    +0.023[-0.01,+0.05] |    -0.033[-0.07,+0.03] |    -0.033[-0.07,+0.03] | 0.299/0.300
15-22 0.6-1.2   all    679/357  |    -0.002[-0.01,+0.00] -0.002 |    -0.035[-0.06,+0.01] |    +0.030[+0.01,+0.05] |    -0.029[-0.06,+0.03] |    -0.029[-0.06,+0.03] | 0.299/0.300
>22   0.6-1.2   lo     617/87   |    -0.003[-0.01,+0.01] -0.003 |    -0.013[-0.03,+0.01] |    +0.068[+0.01,+0.12] |    -0.017[-0.06,+0.01] |    -0.017[-0.06,+0.01] | 0.299/0.298
>22   0.6-1.2   mid    599/125  |    -0.003[-0.01,+0.00] -0.002 |    -0.024[-0.05,-0.01] |    +0.036[+0.01,+0.06] |    -0.011[-0.05,+0.02] |    -0.011[-0.05,+0.02] | 0.300/0.299
>22   0.6-1.2   hi     700/203  |    -0.003[-0.01,-0.00] -0.004 |    -0.022[-0.05,-0.01] |    +0.026[+0.01,+0.05] |    -0.006[-0.06,+0.02] |    -0.006[-0.06,+0.02] | 0.299/0.300
>22   0.6-1.2   all   1916/415  |    -0.003[-0.01,-0.00] -0.004 |    -0.022[-0.05,-0.01] |    +0.029[+0.01,+0.05] |    -0.008[-0.05,+0.01] |    -0.008[-0.05,+0.01] | 0.299/0.299

##### T64 minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
2-8   0.05-0.15 lo      59/29   |    +0.101[+0.08,+0.12] +0.116 |    +0.278[-0.15,+0.66] |    -0.082[-0.20,+0.29] |    +0.336[-0.14,+0.75] |    +0.246[-0.21,+0.65] | 0.299/0.280
2-8   0.05-0.15 all    107/38   |    +0.114[+0.09,+0.19] +0.118 |    +0.466[-2.26,+0.89] |    -0.034[-1.28,+0.11] |    +0.548[-4.06,+1.01] |    +0.450[-4.15,+0.91] | 0.286/0.295
8-15  0.05-0.15 lo      77/79   |    +0.105[+0.06,+0.12] +0.117 |    +0.070[-0.37,+0.32] |    +0.002[-0.18,+0.12] |    +0.198[-0.45,+0.56] |    +0.093[-0.53,+0.45] | 0.290/0.298
8-15  0.05-0.15 mid     97/52   |    +0.143[+0.11,+0.23] +0.118 |    -0.346[-0.77,-0.12] |    +0.035[-0.23,+0.08] |    -0.139[-0.76,+0.12] |    -0.264[-0.89,-0.02] | 0.304/0.345
8-15  0.05-0.15 all    260/149  |    +0.128[+0.11,+0.19] +0.118 |    -0.159[-0.30,-0.05] |    +0.052[-0.03,+0.10] |    +0.031[-0.17,+0.15] |    -0.078[-0.28,+0.04] | 0.307/0.321
15-22 0.05-0.15 lo     171/125  |    +0.110[+0.10,+0.13] +0.117 |    -0.235[-0.44,-0.07] |    -0.099[-0.28,+0.07] |    -0.252[-0.53,+0.02] |    -0.347[-0.63,-0.08] | 0.286/0.283
15-22 0.05-0.15 mid    145/86   |    +0.118[+0.11,+0.13] +0.118 |    -0.476[-0.71,-0.30] |    +0.015[-0.11,+0.14] |    -0.349[-0.61,-0.13] |    -0.448[-0.70,-0.23] | 0.293/0.297
15-22 0.05-0.15 hi     182/32   |    +0.115[+0.10,+0.12] +0.118 |    -0.331[-0.45,-0.10] |    +0.006[-0.13,+0.08] |    -0.208[-0.33,-0.00] |    -0.308[-0.43,-0.10] | 0.305/0.299
15-22 0.05-0.15 all    497/243  |    +0.115[+0.11,+0.13] +0.118 |    -0.336[-0.50,-0.20] |    +0.008[-0.06,+0.05] |    -0.212[-0.37,-0.08] |    -0.312[-0.47,-0.18] | 0.303/0.298
>22   0.05-0.15 lo     519/123  |    +0.118[+0.11,+0.13] +0.117 |    -0.267[-0.63,+0.02] |    -0.048[-0.14,+0.07] |    -0.288[-0.71,+0.08] |    -0.392[-0.81,-0.02] | 0.292/0.300
>22   0.05-0.15 mid    614/82   |    +0.121[+0.12,+0.12] +0.118 |    -0.355[-0.50,-0.22] |    -0.017[-0.12,+0.13] |    -0.245[-0.48,+0.03] |    -0.352[-0.58,-0.07] | 0.300/0.303
>22   0.05-0.15 hi     643/39   |    +0.117[+0.11,+0.12] +0.118 |    -0.196[-0.28,-0.04] |    -0.028[-0.11,+0.03] |    -0.104[-0.23,+0.11] |    -0.204[-0.33,+0.01] | 0.300/0.300
>22   0.05-0.15 all   1777/244  |    +0.117[+0.12,+0.12] +0.118 |    -0.217[-0.33,-0.08] |    -0.017[-0.09,+0.08] |    -0.113[-0.28,+0.13] |    -0.215[-0.38,+0.02] | 0.300/0.301
2-8   0.15-0.3  mid     46/23   |    +0.116[+0.09,+0.13] +0.109 |    +0.332[+0.04,+0.53] |    +0.044[-0.06,+0.12] |    +0.491[+0.10,+0.70] |    +0.391[+0.01,+0.60] | 0.293/0.297
2-8   0.15-0.3  all    242/59   |    +0.124[+0.08,+0.14] +0.109 |    -0.203[-0.28,-0.07] |    -0.006[-0.05,+0.02] |    -0.088[-0.24,+0.05] |    -0.184[-0.33,-0.05] | 0.306/0.288
8-15  0.15-0.3  lo     360/69   |    +0.111[+0.10,+0.12] +0.110 |    +0.223[+0.07,+0.40] |    +0.009[-0.03,+0.06] |    +0.349[+0.18,+0.55] |    +0.238[+0.07,+0.44] | 0.295/0.295
8-15  0.15-0.3  mid    147/151  |    +0.117[+0.11,+0.13] +0.110 |    +0.250[+0.18,+0.33] |    +0.012[-0.01,+0.04] |    +0.377[+0.30,+0.47] |    +0.274[+0.19,+0.36] | 0.293/0.301
