# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T64      >=8        58 |  +0.060[+0.05,+0.10] |  +0.110[+0.00,+0.15] |  +0.000[-0.02,+0.02] |  +0.190[+0.08,+0.23] | +0.099 |  +0.090[-0.02,+0.13]
T64      8-15       10 |  +0.095[+0.05,+0.12] |  +0.005[-0.09,+0.11] |  +0.010[-0.01,+0.02] |  +0.135[+0.01,+0.21] | +0.099 |  +0.035[-0.09,+0.12]
T64      15-22      11 |  +0.070[+0.05,+0.12] |  +0.130[-0.05,+0.25] |  +0.010[-0.08,+0.08] |  +0.190[+0.04,+0.49] | +0.099 |  +0.090[-0.06,+0.39]
T64      >=22       37 |  +0.060[+0.03,+0.10] |  +0.140[-0.02,+0.16] |  -0.010[-0.04,+0.02] |  +0.200[-0.07,+0.25] | +0.099 |  +0.100[-0.17,+0.15]
T64B     >=8        52 |  +0.080[+0.04,+0.11] |  +0.060[+0.02,+0.13] |  +0.000[-0.04,+0.04] |  +0.185[+0.07,+0.29] | +0.106 |  +0.085[-0.03,+0.19]
T64B     8-15       15 |  +0.090[+0.02,+0.12] |  +0.030[-0.17,+0.23] |  +0.000[-0.01,+0.15] |  +0.150[-0.04,+0.43] | +0.106 |  +0.050[-0.14,+0.33]
T64B     15-22      15 |  +0.090[+0.08,+0.12] |  +0.040[-0.07,+0.18] |  -0.010[-0.05,+0.00] |  +0.150[-0.05,+0.29] | +0.106 |  +0.050[-0.15,+0.19]
T64B     >=22       22 |  +0.060[+0.01,+0.07] |  +0.120[+0.03,+0.17] |  +0.000[-0.03,+0.07] |  +0.200[+0.08,+0.35] | +0.106 |  +0.100[-0.02,+0.25]
T64+T64B >=8       107 |  +0.070[+0.05,+0.10] |  +0.090[-0.01,+0.14] |  +0.000[-0.02,+0.01] |  +0.190[+0.08,+0.23] | +0.102 |  +0.090[-0.02,+0.13]
T64+T64B 8-15       24 |  +0.090[+0.05,+0.11] |  -0.020[-0.06,+0.11] |  +0.000[-0.01,+0.02] |  +0.075[+0.01,+0.21] | +0.102 |  -0.025[-0.09,+0.11]
T64+T64B 15-22      24 |  +0.090[+0.06,+0.12] |  +0.075[-0.20,+0.21] |  +0.000[-0.04,+0.05] |  +0.120[-0.17,+0.29] | +0.102 |  +0.020[-0.27,+0.19]
T64+T64B >=22       59 |  +0.060[+0.02,+0.09] |  +0.120[+0.00,+0.16] |  +0.000[-0.04,+0.07] |  +0.200[+0.08,+0.35] | +0.102 |  +0.100[-0.02,+0.25]
T5       >=8        57 |  +0.230[+0.22,+0.24] |  +0.210[+0.16,+0.29] |  -0.010[-0.03,+0.01] |  +0.410[+0.36,+0.51] | +0.086 |  +0.320[+0.27,+0.42]
T5       8-15        8 |  +0.210[+0.16,+0.26] |  +0.075[-0.10,+0.16] |  -0.005[-0.02,+0.15] |  +0.290[+0.14,+0.51] | +0.086 |  +0.200[+0.05,+0.42]
T5       15-22      13 |  +0.230[+0.22,+0.27] |  +0.210[+0.08,+0.23] |  +0.010[-0.04,+0.02] |  +0.410[+0.34,+0.51] | +0.086 |  +0.320[+0.25,+0.42]
T5       >=22       36 |  +0.225[+0.21,+0.24] |  +0.235[+0.21,+0.35] |  -0.020[-0.04,+0.02] |  +0.410[+0.35,+0.55] | +0.086 |  +0.320[+0.26,+0.47]
T4       >=8        53 |  +0.230[+0.22,+0.24] |  +0.050[+0.00,+0.10] |  -0.010[-0.04,+0.00] |  +0.240[+0.20,+0.32] | +0.080 |  +0.160[+0.12,+0.24]
T4       8-15       15 |  +0.220[+0.19,+0.26] |  -0.070[-0.14,+0.05] |  +0.000[-0.01,+0.03] |  +0.200[+0.11,+0.32] | +0.080 |  +0.120[+0.04,+0.17]
T4       15-22      22 |  +0.240[+0.22,+0.25] |  +0.050[-0.04,+0.09] |  -0.020[-0.04,+0.00] |  +0.240[+0.18,+0.32] | +0.080 |  +0.160[+0.10,+0.24]
T4       >=22       16 |  +0.220[+0.21,+0.24] |  +0.165[+0.05,+0.30] |  -0.020[-0.07,+0.02] |  +0.410[+0.27,+0.57] | +0.080 |  +0.330[+0.19,+0.53]
V282old  >=8        92 |  +0.000[-0.03,+0.02] |  +0.000[-0.03,+0.06] |  +0.030[-0.01,+0.12] |  +0.045[-0.07,+0.22] | +0.000 |  +0.045[-0.07,+0.22]
