cell,metric,note,pair,target_est,ref_est,n_target,routes_target,n_ref,routes_ref,diff,ci_lo,ci_hi,mde80,effect_over_mde,excludes0,ref_ok
A15_2.5-5,mode_ratio_1.8-3Hz,4,T64-V282,0.2,0.0656,10,2,9,2,0.1344,0.0003,0.641,0.371,0.3623,True,False
A15_2.5-5,mode_ratio_1.8-3Hz,4,T64-V282old,0.2,0.042,10,2,19,3,0.158,-0.03,0.5723,0.384,0.4114,False,True
A15_2.5-5,mode_ratio_1.8-3Hz,4,T64-V282pool,0.2,0.0445,10,2,28,5,0.1555,0.0521,0.6974,0.3682,0.4225,True,True
A15_2.5-5,mode_ratio_1.8-3Hz,4,T64B-V282,0.2402,0.0656,6,1,9,2,0.1746,-0.0181,0.3426,0.2626,0.6647,False,False
A15_2.5-5,mode_ratio_1.8-3Hz,4,T64B-V282old,0.2402,0.042,6,1,19,3,0.1982,-0.0166,0.3559,0.2777,0.7137,False,True
A15_2.5-5,mode_ratio_1.8-3Hz,4,T64B-V282pool,0.2402,0.0445,6,1,28,5,0.1957,0.0151,0.3495,0.2547,0.7685,True,True
A15_2.5-5,mode_ratio_1.8-3Hz,4,T4-V282,0.2541,0.0656,10,1,9,2,0.1885,0.0277,0.3225,0.2028,0.9292,True,False
A15_2.5-5,mode_ratio_1.8-3Hz,4,T4-V282old,0.2541,0.042,10,1,19,3,0.2121,0.0055,0.3441,0.2188,0.9695,True,True
A15_2.5-5,mode_ratio_1.8-3Hz,4,T4-V282pool,0.2541,0.0445,10,1,28,5,0.2096,0.0802,0.3372,0.1905,1.1003,True,True
A15_2.5-5,mode_ratio_1.8-3Hz,4,V282old-V282,0.042,0.0656,19,3,9,2,-0.0236,-0.1007,0.1878,0.1561,0.1512,False,False
A15_2.5-5,hf_ratio_2-10Hz,4,T64-V282,0.277,0.1238,10,2,9,2,0.1531,-0.1497,0.4701,0.4344,0.3524,False,False
A15_2.5-5,hf_ratio_2-10Hz,4,T64-V282old,0.277,0.1327,10,2,19,3,0.1443,-0.0337,0.5091,0.3785,0.3812,False,True
A15_2.5-5,hf_ratio_2-10Hz,4,T64-V282pool,0.277,0.1323,10,2,28,5,0.1447,-0.0202,0.5397,0.3719,0.389,False,True
A15_2.5-5,hf_ratio_2-10Hz,4,T64B-V282,0.3242,0.1238,6,1,9,2,0.2004,-0.2213,0.3191,0.3779,0.5302,False,False
A15_2.5-5,hf_ratio_2-10Hz,4,T64B-V282old,0.3242,0.1327,6,1,19,3,0.1915,-0.1086,0.3259,0.3167,0.6048,False,True
A15_2.5-5,hf_ratio_2-10Hz,4,T64B-V282pool,0.3242,0.1323,6,1,28,5,0.1919,-0.0341,0.3124,0.2906,0.6604,False,True
A15_2.5-5,hf_ratio_2-10Hz,4,T4-V282,0.2473,0.1238,10,1,9,2,0.1235,-0.1081,0.1935,0.2749,0.4491,False,False
A15_2.5-5,hf_ratio_2-10Hz,4,T4-V282old,0.2473,0.1327,10,1,19,3,0.1146,-0.0633,0.2215,0.1867,0.614,False,True
A15_2.5-5,hf_ratio_2-10Hz,4,T4-V282pool,0.2473,0.1323,10,1,28,5,0.115,-0.0318,0.1986,0.1389,0.828,False,True
A15_2.5-5,hf_ratio_2-10Hz,4,V282old-V282,0.1327,0.1238,19,3,9,2,0.0088,-0.2548,0.1867,0.3197,0.0277,False,False
A15_2.5-5,mode_rms_1.8-3Hz,4,T64-V282,8.2796,2.1468,10,2,9,2,6.1328,2.3722,15.4931,9.7007,0.6322,True,False
A15_2.5-5,mode_rms_1.8-3Hz,4,T64-V282old,8.2796,1.5968,10,2,19,3,6.6828,2.7363,16.0101,9.7533,0.6852,True,True
