======================================================================================================================================
SECTION Q   CONTROL -- V282old (same V282 EPS, older fork, different roads) scored the same way
======================================================================================================================================
Question: is the torque mode's deficit distinguishable from ordinary fork/route variation?

       band       v  Q |               V282 |                    V282old vs V282 |                      TQall vs V282
                       |     H    NE    lag |     H    NE  NEx  dlag lagfrac    n |     H    NE  NEx  dlag lagfrac    n
  0.08-0.25    8-15  1 |  0.86  0.40   +394 |  1.07  0.68 1.70   +95    0.63    8 |                 --                
  0.08-0.25    8-15  2 |  0.88  0.47   +469 |                 --                 |  0.91  0.92 1.99  +368    0.95   19
  0.08-0.25    8-15  3 |  0.86  0.34   +351 |                 --                 |  1.07  0.75 2.19  +218    0.94   21
  0.08-0.25    8-15  4 |  1.03  0.25   +275 |                 --                 |  0.96  0.39 1.56   +87    0.98   10
  0.08-0.25   15-22  1 |  0.68  0.57   +538 |                 --                 |  1.14  1.09 1.92  +188    0.76    8
  0.08-0.25   15-22  2 |  0.72  0.53   +447 |                 --                 |  1.13  0.97 1.84  +210    0.83   11
  0.08-0.25   15-22  3 |  0.89  0.37   +376 |                 --                 |  1.15  0.94 2.51  +335    0.87   13
  0.08-0.25   15-22  4 |  0.96  0.24   +268 |                 --                 |  1.01  0.48 1.99  +127    0.96    8
  0.08-0.25   22-40  1 |  0.80  0.49   +399 |  1.37  0.68 1.39   -10   -0.22   10 |  1.05  0.92 1.88  +240    0.50   10
  0.08-0.25   22-40  2 |  0.80  0.45   +352 |  0.98  0.56 1.22   +37     nan    8 |                 --                
  0.08-0.25   22-40  3 |  0.90  0.27   +237 |  1.39  0.62 2.30   +64    0.21   12 |  0.96  0.58 2.15  +209    1.03   17
  0.08-0.25   22-40  4 |  0.91  0.22   +197 |                 --                 |  1.02  0.62 2.76  +320    1.00    8
  0.15-0.30     2-8  3 |  0.85  0.46   +273 |  1.17  0.47 1.01   +39    0.45   10 |  0.82  0.69 1.49  +230    0.90   17
  0.15-0.30    8-15  1 |  0.85  0.40   +270 |  1.00  0.74 1.82  +165    1.01   17 |  0.90  1.02 2.51  +397    1.01   21
  0.15-0.30    8-15  2 |  0.82  0.44   +266 |  0.95  0.63 1.43  +130    1.10   17 |  0.94  0.84 1.92  +257    1.05   41
  0.15-0.30    8-15  3 |  0.91  0.38   +223 |  1.10  0.68 1.79  +200    0.87   17 |  1.02  0.92 2.41  +388    0.96   52
