========================================================================================================================================================
SERIES DECOMPOSITION, per route.  H_fork = model -> controller setpoint;  H_dwn = setpoint -> achieved;
  H_tot = model -> achieved.  lag in s.  'refFF pred' = the fork's own AccordRefFilter PHASE delay
  2*atan(w*RC)/w at the band centre (two cascaded first-order lags of RC each, latcontrol_torque.py:319-326).
  PHASE delay, not group delay, because lag_eq below is -phase/(2*pi*f) -- ALGEBRA on the filter alone,
  printed next to the MEASURED lag_fork.  Nothing here is chained into a closed-loop prediction.
========================================================================================================================================================

00000064--ce6b0b0ebb  V282      V282  refFilt ABSENT LAF6.0 Kp0.9 fric0.01 Ki0.3 obs- SR16.33
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   22-40     10/ 205 |  1.040  1.00 +0.012      0.000 |  0.856  0.96 +0.245 |  0.889  0.96 +0.258 |   0.890  +0.257
   0.25-0.50   22-40     10/ 205 |  1.141  1.00 +0.040      0.000 |  0.913  0.92 +0.247 |  1.040  0.91 +0.285 |   1.043  +0.287
   0.50-1.00   0-8      10/  51 |  1.241  0.99 +0.062      0.000 |  0.784  0.76 +0.166 |  0.966  0.74 +0.219 |   0.973  +0.228
   0.50-1.00   8-15     11/  56 |  1.142  0.98 +0.057      0.000 |  0.806  0.83 +0.163 |  0.916  0.83 +0.206 |   0.920  +0.220
   0.50-1.00   15-22     15/  77 |  1.257  0.96 +0.095      0.000 |  0.739  0.49 +0.174 |  0.870  0.42 +0.245 |   0.929  +0.269
   0.50-1.00   22-40     44/ 225 |  1.268  0.97 +0.082      0.000 |  1.231  0.80 +0.190 |  1.553  0.77 +0.279 |   1.561  +0.272
   1.00-2.00   0-8      10/  51 |  1.109  0.95 +0.160      0.000 |  1.004  0.48 +0.061 |  1.311  0.53 +0.180 |   1.114  +0.220
   1.00-2.00   8-15     11/  56 |  1.106  0.97 +0.167      0.000 |  0.970  0.64 +0.073 |  1.222  0.62 +0.221 |   1.073  +0.240
   1.00-2.00   15-22     15/  77 |  1.171  0.95 +0.158      0.000 |  1.205  0.33 +0.027 |  1.889  0.41 +0.147 |   1.411  +0.185
   1.00-2.00   22-40     44/ 225 |  1.176  0.96 +0.152      0.000 |  1.905  0.68 +0.014 |  2.584  0.73 +0.155 |   2.240  +0.166

00000065--b9f78988bd  V282      V282  refFilt ABSENT LAF6.0 Kp0.9 fric0.01 Ki0.3 obs- SR16.33
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   22-40      4/  82 |  1.041  1.00 +0.008      0.000 |  0.825  0.99 +0.280 |  0.859  0.98 +0.290 |   0.859  +0.289
   0.25-0.50   22-40      4/  82 |  1.151  1.00 +0.037      0.000 |  0.861  0.96 +0.212 |  0.990  0.96 +0.249 |   0.991  +0.250
   0.50-1.00   0-8      12/  61 |  1.245  1.00 +0.030      0.000 |  0.963  0.95 +0.227 |  1.202  0.95 +0.242 |   1.198  +0.257
   0.50-1.00   8-15     28/ 143 |  1.237  0.96 +0.081      0.000 |  0.690  0.72 +0.213 |  0.821  0.65 +0.284 |   0.854  +0.294
   0.50-1.00   15-22     26/ 133 |  1.288  0.98 +0.079      0.000 |  0.943  0.78 +0.191 |  1.212  0.77 +0.268 |   1.215  +0.270
   0.50-1.00   22-40     20/ 102 |  1.223  0.98 +0.081      0.000 |  0.922  0.69 +0.251 |  1.106  0.66 +0.333 |   1.127  +0.332
   1.00-2.00   0-8      12/  61 |  1.315  0.98 +0.158      0.000 |  0.792  0.72 +0.188 |  0.996  0.64 +0.224 |   1.042  +0.347
