rt   fam      R2 static angle map  R2 livePose yaw*v  best lag (frames)
64   V282                 0.97696            0.93294                  0
65   V282                 0.98093            0.95860                  0
6c   V282                 0.98847            0.98648                  0
39   V282old              0.99631            0.98624                  0
3a   V282old              0.97419            0.91476                  0
3c   V282old              0.98133            0.92558                  0
6c   T64                  0.98075            0.90854                  0
6d   T64                  0.98307            0.95257                  0
6e   T64B                 0.99813            0.98491                  0
76   T5                   0.98813            0.94226                  0
75   T4                   0.99395            0.98489                  0
70   RF00T                0.99526            0.98383                  0
71   T2                   0.99821            0.96137                  0
72   T3                   0.97322            0.95369                  0
73   T3R                  0.96769            0.84690                  0
