
== speed 2.5-8
 rate (0, 5) ang (0, 45)
   V282     n 206 rate   2.6 err  2.25 [1.85,2.59]  sr2-10  0.86  sr1.8-3.5  0.54 [0.49,0.63]  sr<1   2.0
   V282old  n  79 rate   2.8 err  2.24 [1.71,3.00]  sr2-10  0.93  sr1.8-3.5  0.55 [0.33,0.63]  sr<1   2.7
   T64      n  47 rate   3.1 err  2.93 [1.85,4.44]  sr2-10  1.93  sr1.8-3.5  1.63 [0.99,2.34]  sr<1   2.8
   T64B     n  39 rate   3.0 err  2.28 [1.79,2.80]  sr2-10  2.43  sr1.8-3.5  2.12 [1.60,2.59]  sr<1   2.8
   T5       n  14 rate   3.5 err  3.87 [3.04,4.62]  sr2-10  1.65  sr1.8-3.5  1.57 [0.90,2.15]  sr<1   2.6
   T4       n  63 rate   3.2 err  3.15 [2.44,3.99]  sr2-10  2.56  sr1.8-3.5  2.37 [1.75,2.99]  sr<1   2.6
 rate (5, 15) ang (0, 45)
   V282     n  63 rate   8.1 err  5.87 [4.61,8.45]  sr2-10  2.11  sr1.8-3.5  1.27 [0.99,1.77]  sr<1   7.7
   V282old  n  65 rate   7.5 err  4.10 [3.16,6.16]  sr2-10  1.83  sr1.8-3.5  0.94 [0.72,1.06]  sr<1   8.1
   T64      n  18 rate   8.1 err  5.03 [3.40,7.59]  sr2-10  5.58  sr1.8-3.5  5.45 [3.00,7.05]  sr<1  12.2
   T64B     n  26 rate   8.0 err  5.05 [3.76,6.28]  sr2-10  4.21  sr1.8-3.5  4.02 [3.20,4.87]  sr<1   7.0
   T5       n  14 rate   7.9 err  6.88 [4.48,8.80]  sr2-10  3.90  sr1.8-3.5  3.53 [2.48,4.60]  sr<1   8.5
   T4       n  35 rate   7.9 err  4.68 [3.90,5.45]  sr2-10  5.29  sr1.8-3.5  5.40 [3.50,7.33]  sr<1  10.2
 rate (15, 35) ang (0, 45)
   V282     n  13 rate  23.5 err  8.46 [4.96,12.11]  sr2-10  3.52  sr1.8-3.5  2.11 [1.01,3.10]  sr<1  28.5
   V282old  n  13 rate  20.7 err  7.82 [6.04,10.20]  sr2-10  3.28  sr1.8-3.5  1.29 [0.41,1.81]  sr<1  27.2
   T64      n   9 rate  21.0 err  9.19 [5.59,12.31]  sr2-10 12.00  sr1.8-3.5 12.48 [8.54,15.45]  sr<1  30.4
   T4       n   8 rate  20.3 err  9.96 [6.46,12.81]  sr2-10  6.70  sr1.8-3.5  6.92 [5.12,8.48]  sr<1  42.0
 rate (15, 35) ang (45, 400)
   V282old  n   6 rate  30.1 err 10.21 [7.10,12.77]  sr2-10  6.66  sr1.8-3.5  4.11 [2.54,4.90]  sr<1  27.1
   T64      n   6 rate  22.2 err 10.34 [6.24,14.48]  sr2-10 12.86  sr1.8-3.5 14.10 [5.35,18.82]  sr<1  36.9
   T4       n   6 rate  26.2 err 19.61 [12.97,26.41]  sr2-10 16.69  sr1.8-3.5 18.45 [9.53,28.12]  sr<1  50.7
 rate (35, 80) ang (0, 45)
   V282old  n   7 rate  51.4 err 23.40 [17.00,31.76]  sr2-10  4.81  sr1.8-3.5  2.47 [1.19,3.52]  sr<1  72.9
 rate (35, 80) ang (45, 400)
   V282     n   5 rate  58.6 err 17.13 [13.57,19.88]  sr2-10  5.47  sr1.8-3.5  3.19 [2.56,3.70]  sr<1  61.5
   V282old  n  11 rate  53.7 err 19.55 [14.58,23.49]  sr2-10  6.02  sr1.8-3.5  2.63 [1.54,3.50]  sr<1  55.6
   T64      n   7 rate  68.9 err 10.64 [6.65,14.56]  sr2-10 14.51  sr1.8-3.5 13.84 [8.09,19.32]  sr<1  72.8
   T64B     n  11 rate  53.6 err 14.43 [10.27,17.75]  sr2-10 18.22  sr1.8-3.5 16.25 [13.28,18.64]  sr<1  66.3
   T4       n  11 rate  57.6 err 15.12 [11.53,18.76]  sr2-10 15.31  sr1.8-3.5 17.40 [13.50,21.35]  sr<1  56.0
 rate (80, 400) ang (45, 400)
   V282     n   5 rate 108.0 err 43.71 [29.27,59.17]  sr2-10  5.99  sr1.8-3.5  3.21 [1.81,4.39]  sr<1  96.4
   V282old  n   7 rate 102.0 err 39.13 [29.60,48.55]  sr2-10  5.19  sr1.8-3.5  3.38 [0.98,4.34]  sr<1 103.3

== speed 8-15
 rate (0, 5) ang (0, 45)
   V282     n 474 rate   1.9 err  1.25 [1.00,1.39]  sr2-10  0.73  sr1.8-3.5  0.41 [0.38,0.47]  sr<1   1.8
   V282old  n 292 rate   2.2 err  2.11 [1.71,2.95]  sr2-10  0.87  sr1.8-3.5  0.48 [0.37,0.52]  sr<1   2.8
   T64      n 228 rate   2.0 err  1.66 [1.51,1.81]  sr2-10  2.08  sr1.8-3.5  1.54 [1.31,1.77]  sr<1   2.8
   T64B     n 172 rate   2.5 err  1.82 [1.61,2.04]  sr2-10  2.68  sr1.8-3.5  2.15 [1.90,2.39]  sr<1   3.4
   T5       n  32 rate   2.7 err  2.36 [1.93,2.78]  sr2-10  2.64  sr1.8-3.5  1.97 [1.51,2.33]  sr<1   3.4
   T4       n 198 rate   2.3 err  1.82 [1.67,1.98]  sr2-10  2.10  sr1.8-3.5  1.63 [1.45,1.83]  sr<1   2.1
 rate (5, 15) ang (0, 45)
   V282     n  67 rate   7.8 err  2.59 [2.12,3.25]  sr2-10  1.70  sr1.8-3.5  0.71 [0.63,0.87]  sr<1   9.0
   V282old  n  42 rate   8.2 err  6.25 [4.82,8.63]  sr2-10  2.03  sr1.8-3.5  0.76 [0.62,0.93]  sr<1  11.9
   T64      n  20 rate   8.1 err  2.43 [1.98,2.81]  sr2-10  5.99  sr1.8-3.5  5.00 [4.12,6.07]  sr<1   9.3
   T64B     n  30 rate   7.9 err  3.12 [2.73,3.54]  sr2-10  6.79  sr1.8-3.5  6.26 [4.90,7.46]  sr<1   9.5
   T5       n  17 rate   8.4 err  3.76 [3.40,4.12]  sr2-10  5.67  sr1.8-3.5  4.64 [3.48,5.99]  sr<1   9.2
   T4       n  35 rate   8.4 err  3.71 [3.26,4.23]  sr2-10  5.85  sr1.8-3.5  5.85 [4.69,6.92]  sr<1  10.0
 rate (15, 35) ang (0, 45)
   V282     n   9 rate  20.4 err  5.57 [3.08,7.21]  sr2-10  2.92  sr1.8-3.5  0.89 [0.43,1.25]  sr<1  23.6
   V282old  n   6 rate  21.4 err  7.61 [3.54,12.32]  sr2-10  2.56  sr1.8-3.5  0.74 [0.63,0.85]  sr<1  34.1
   T64B     n   8 rate  21.4 err  4.38 [2.41,5.89]  sr2-10 11.63  sr1.8-3.5 11.27 [6.18,15.85]  sr<1  27.4
   T5       n   6 rate  22.1 err  6.43 [3.93,8.78]  sr2-10 11.76  sr1.8-3.5 12.28 [8.22,15.47]  sr<1  25.3
   T4       n   8 rate  22.1 err  7.52 [5.19,9.51]  sr2-10 10.52  sr1.8-3.5 10.90 [6.18,15.27]  sr<1  28.5
 rate (15, 35) ang (45, 400)
   T64B     n   5 rate  20.0 err  5.29 [4.03,6.29]  sr2-10 19.98  sr1.8-3.5 21.18 [15.50,25.64]  sr<1  23.9
