f,band,gate,slope,slope_over_k_2,slope_over_k_4,slope_over_k_6,slope_over_k_8,slope_over_klev_2,slope_over_klev_4,slope_over_klev_6,slope_over_klev_8,slope_15,slope_over_klev_15,slope_19,slope_over_klev_19,slope_26,slope_over_klev_26,highway_untouched,z0_2_8,zbk_2_8,dz_2_8,ex_2_8,reach_acc_2_8,reach_lvl_2_8,dt_2_8,dt_p90_2_8,tr_2_8,nohit_2_8,dz_8_15,ex_8_15,reach_acc_8_15,dt_8_15,dt_p90_8_15
0.045,1.5,flat,0.03,14.28571,10.71429,6.81818,5.76923,12.42236,9.31677,5.92885,5.01672,0.03,2.42915,0.03,1.8673,0.03,1.38671,False,-0.01146,0.045,0.04891,0.03,1.48208,1.36364,0.3,0.728,1.23812,0.01379,0.03864,0.03,1.48602,0.21,0.55
0.04,1.5,flat,0.02667,12.69841,9.52381,6.06061,5.12821,11.0421,8.28157,5.27009,4.45931,0.02667,2.15924,0.02667,1.65982,0.02667,1.23263,False,-0.01019,0.04,0.04347,0.02538,1.31741,1.21212,0.29,0.682,1.21563,0.01379,0.03434,0.025,1.32091,0.2,0.525
0.045,1.0,flat,0.045,21.42857,16.07143,10.22727,8.65385,18.63354,13.97516,8.89328,7.52508,0.045,3.64372,0.045,2.80095,0.045,2.08006,False,-0.00069,0.045,0.04326,0.03427,1.31095,1.36364,0.32,0.81,1.55961,0.02069,0.04906,0.03581,1.887,0.31,0.68
0.036,1.5,flat,0.024,11.42857,8.57143,5.45455,4.61538,9.93789,7.45342,4.74308,4.01338,0.024,1.94332,0.024,1.49384,0.024,1.10936,False,-0.00917,0.036,0.03913,0.02138,1.18567,1.09091,0.24,0.676,1.1381,0.02069,0.03091,0.021,1.18882,0.18,0.51
0.045,2.0,flat,0.0225,10.71429,8.03571,5.11364,4.32692,9.31677,6.98758,4.44664,3.76254,0.0225,1.82186,0.0225,1.40047,0.0225,1.04003,False,-0.01418,0.04474,0.0389,0.03,1.17891,1.35582,0.26,0.666,0.97047,0.01379,0.03066,0.01925,1.1794,0.13,0.515
0.04,1.0,flat,0.04,19.04762,14.28571,9.09091,7.69231,16.56315,12.42236,7.90514,6.68896,0.04,3.23887,0.04,2.48973,0.04,1.84894,False,-0.00061,0.04,0.03845,0.02936,1.16529,1.21212,0.3,0.79,1.49782,0.02069,0.04361,0.03116,1.67733,0.28,0.66
0.033,1.5,flat,0.022,10.47619,7.85714,5.0,4.23077,9.10973,6.8323,4.34783,3.67893,0.022,1.78138,0.022,1.36935,0.022,1.01692,False,-0.0084,0.033,0.03587,0.01841,1.08686,1.0,0.21,0.666,1.11392,0.02069,0.02833,0.018,1.08975,0.17,0.51
0.036,1.0,flat,0.036,17.14286,12.85714,8.18182,6.92308,14.90683,11.18012,7.11462,6.02007,0.036,2.91498,0.036,2.24076,0.036,1.66405,False,-0.00055,0.036,0.03461,0.02536,1.04876,1.09091,0.27,0.782,1.42657,0.02069,0.03925,0.02766,1.5096,0.27,0.61
0.04,2.0,flat,0.02,9.52381,7.14286,4.54545,3.84615,8.28157,6.21118,3.95257,3.34448,0.02,1.61943,0.02,1.24486,0.02,0.92447,False,-0.01261,0.03977,0.03458,0.025,1.04792,1.20518,0.22,0.634,0.93295,0.01379,0.02726,0.01661,1.04836,0.12,0.485
0.03,1.5,flat,0.02,9.52381,7.14286,4.54545,3.84615,8.28157,6.21118,3.95257,3.34448,0.02,1.61943,0.02,1.24486,0.02,0.92447,False,-0.00764,0.03,0.03261,0.01667,0.98806,0.90909,0.18,0.628,1.1038,0.02069,0.02576,0.015,0.99068,0.15,0.465
0.045,2.5,flat,0.018,8.57143,6.42857,4.09091,3.46154,7.45342,5.59006,3.55731,3.01003,0.018,1.45749,0.018,1.12038,0.018,0.83202,False,-0.01636,0.0352,0.03186,0.02571,0.96554,1.06653,0.18,0.656,0.76172,0.07586,0.02485,0.00978,0.95574,0.07,0.505
0.033,1.0,flat,0.033,15.71429,11.78571,7.5,6.34615,13.6646,10.24845,6.52174,5.51839,0.033,2.67206,0.033,2.05403,0.033,1.52538,False,-0.0005,0.033,0.03172,0.02236,0.96136,1.0,0.25,0.762,1.35958,0.02069,0.03598,0.02492,1.3838,0.27,0.565
0.036,2.0,flat,0.018,8.57143,6.42857,4.09091,3.46154,7.45342,5.59006,3.55731,3.01003,0.018,1.45749,0.018,1.12038,0.018,0.83202,False,-0.01135,0.03579,0.03112,0.021,0.94313,1.08466,0.19,0.596,0.90336,0.01379,0.02453,0.0147,0.94352,0.11,0.435
0.03,1.0,flat,0.03,14.28571,10.71429,6.81818,5.76923,12.42236,9.31677,5.92885,5.01672,0.03,2.42915,0.03,1.8673,0.03,1.38671,False,-0.00046,0.03,0.02884,0.01936,0.87397,0.90909,0.22,0.696,1.27416,0.02069,0.03271,0.02231,1.258,0.25,0.54
0.033,2.0,flat,0.0165,7.85714,5.89286,3.75,3.17308,6.8323,5.12422,3.26087,2.7592,0.0165,1.33603,0.0165,1.02701,0.0165,0.76269,False,-0.0104,0.03281,0.02853,0.018,0.86454,0.99427,0.17,0.59,0.87103,0.01379,0.02249,0.01307,0.8649,0.1,0.415
0.04,2.5,flat,0.016,7.61905,5.71429,3.63636,3.07692,6.62526,4.96894,3.16206,2.67559,0.016,1.29555,0.016,0.99589,0.016,0.73958,False,-0.01454,0.03128,0.02832,0.02189,0.85826,0.94802,0.16,0.634,0.71036,0.07586,0.02209,0.00804,0.84955,0.07,0.46
0.025,1.5,flat,0.01667,7.93651,5.95238,3.78788,3.20513,6.90131,5.17598,3.29381,2.78707,0.01667,1.34953,0.01667,1.03739,0.01667,0.77039,False,-0.00637,0.025,0.02717,0.01262,0.82338,0.75758,0.15,0.496,0.9004,0.01379,0.02146,0.01,0.82557,0.125,0.36
0.045,3.0,flat,0.015,7.14286,5.35714,3.40909,2.88462,6.21118,4.65839,2.96443,2.50836,0.015,1.21457,0.015,0.93365,0.015,0.69335,False,-0.0116,0.02721,0.02674,0.01814,0.81022,0.82462,0.12,0.656,0.50761,0.15862,0.02076,0.00553,0.79848,0.04,0.49
0.03,2.0,flat,0.015,7.14286,5.35714,3.40909,2.88462,6.21118,4.65839,2.96443,2.50836,0.015,1.21457,0.015,0.93365,0.015,0.69335,False,-0.00945,0.02983,0.02594,0.015,0.78594,0.90388,0.15,0.55,0.83425,0.01379,0.02044,0.01127,0.78627,0.09,0.38
0.036,2.5,flat,0.0144,6.85714,5.14286,3.27273,2.76923,5.96273,4.47205,2.84585,2.40803,0.0144,1.16599,0.0144,0.8963,0.0144,0.66562,False,-0.01309,0.02816,0.02549,0.01899,0.77244,0.85322,0.13,0.596,0.66786,0.07586,0.01988,0.00679,0.76459,0.06,0.415
0.025,1.0,flat,0.025,11.90476,8.92857,5.68182,4.80769,10.35197,7.76398,4.94071,4.1806,0.025,2.02429,0.025,1.55608,0.025,1.15559,False,-0.00038,0.025,0.02403,0.01465,0.72831,0.75758,0.18,0.55,1.06835,0.01379,0.02726,0.01801,1.04833,0.2,0.5
0.04,3.0,flat,0.01333,6.34921,4.7619,3.0303,2.5641,5.52105,4.14079,2.63505,2.22965,0.01333,1.07962,0.01333,0.82991,0.01333,0.61631,False,-0.01031,0.02419,0.02377,0.01512,0.72019,0.733,0.11,0.65,0.46208,0.15862,0.01845,0.00457,0.70976,0.03,0.43
0.033,2.5,flat,0.0132,6.28571,4.71429,3.0,2.53846,5.46584,4.09938,2.6087,2.20736,0.0132,1.06883,0.0132,0.82161,0.0132,0.61015,False,-0.012,0.02581,0.02337,0.01678,0.70807,0.78212,0.13,0.596,0.64494,0.07586,0.01822,0.00584,0.70088,0.06,0.38
0.02,1.5,flat,0.01333,6.34921,4.7619,3.0303,2.5641,5.52105,4.14079,2.63505,2.22965,0.01333,1.07962,0.01333,0.82991,0.01333,0.61631,False,-0.00509,0.02,0.02174,0.00926,0.6587,0.60606,0.11,0.386,0.66912,0.01379,0.01717,0.00688,0.66046,0.1,0.3
0.025,2.0,flat,0.0125,5.95238,4.46429,2.84091,2.40385,5.17598,3.88199,2.47036,2.0903,0.0125,1.01215,0.0125,0.77804,0.0125,0.57779,False,-0.00788,0.02486,0.02161,0.01,0.65495,0.75324,0.12,0.4,0.70102,0.0069,0.01704,0.00859,0.65522,0.08,0.31
0.036,3.0,flat,0.012,5.71429,4.28571,2.72727,2.30769,4.96894,3.72671,2.37154,2.00669,0.012,0.97166,0.012,0.74692,0.012,0.55468,False,-0.00928,0.02177,0.02139,0.0127,0.64817,0.6597,0.11,0.552,0.44927,0.15172,0.01661,0.004,0.63879,0.03,0.415
0.03,2.5,flat,0.012,5.71429,4.28571,2.72727,2.30769,4.96894,3.72671,2.37154,2.00669,0.012,0.97166,0.012,0.74692,0.012,0.55468,False,-0.01091,0.02346,0.02124,0.01444,0.6437,0.71102,0.12,0.568,0.58875,0.06897,0.01657,0.00503,0.63716,0.05,0.34
0.045,4.0,flat,0.01125,5.35714,4.01786,2.55682,2.16346,4.65839,3.49379,2.22332,1.88127,0.01125,0.91093,0.01125,0.70024,0.01125,0.52001,False,-0.01404,0.01471,0.02059,0.00751,0.62396,0.44587,0.06,0.59,0.14537,0.34483,0.01602,-0.00096,0.61612,0.0,0.48
0.033,3.0,flat,0.011,5.2381,3.92857,2.5,2.11538,4.55487,3.41615,2.17391,1.83946,0.011,0.89069,0.011,0.68468,0.011,0.50846,False,-0.00851,0.01996,0.01961,0.01088,0.59416,0.60472,0.1,0.532,0.41481,0.14483,0.01522,0.00322,0.58555,0.03,0.36
0.02,1.0,flat,0.02,9.52381,7.14286,4.54545,3.84615,8.28157,6.21118,3.95257,3.34448,0.02,1.61943,0.02,1.24486,0.02,0.92447,False,-0.00031,0.02,0.01923,0.00965,0.58264,0.60606,0.14,0.516,0.82612,0.02759,0.02181,0.01368,0.83867,0.15,0.415
0.04,4.0,flat,0.01,4.7619,3.57143,2.27273,1.92308,4.14079,3.10559,1.97628,1.67224,0.01,0.80972,0.01,0.62243,0.01,0.46224,False,-0.01248,0.01308,0.0183,0.00506,0.55463,0.39633,0.05,0.586,0.09149,0.35862,0.01424,-0.0009,0.54767,0.0,0.4
0.03,3.0,flat,0.01,4.7619,3.57143,2.27273,1.92308,4.14079,3.10559,1.97628,1.67224,0.01,0.80972,0.01,0.62243,0.01,0.46224,False,-0.00773,0.01814,0.01782,0.00907,0.54014,0.54975,0.09,0.448,0.37943,0.13103,0.01384,0.00264,0.53232,0.02,0.32
0.025,2.5,flat,0.01,4.7619,3.57143,2.27273,1.92308,4.14079,3.10559,1.97628,1.67224,0.01,0.80972,0.01,0.62243,0.01,0.46224,False,-0.00909,0.01955,0.0177,0.01,0.53641,0.59251,0.09,0.366,0.4943,0.03448,0.01381,0.00385,0.53097,0.04,0.27
